,3-28-2019,4-28-2019,5-28-2019,6-28-2019
0,27.0,1271.0,1512.0,5.0
1,3.0,200.0,234.0,2.0
2,19.0,444.0,502.0,0.0
3,2.0,33.0,29.0,0.0
4,1.0,90.0,146.0,1.0
5,9.0,395.0,488.0,3.0
6,17.0,283.0,335.0,2.0
7,10.0,309.0,290.0,3.0
8,17.0,766.0,922.0,5.0
9,12.0,150.0,207.0,4.0
10,12.0,366.0,417.0,1.0
11,14.0,458.0,520.0,8.0
12,3.0,349.0,397.0,1.0
13,3.0,66.0,79.0,0.0
14,7.0,241.0,281.0,3.0
15,15.0,63.0,76.0,1.0
16,32.0,720.0,966.0,1.0
17,28.0,788.0,898.0,1.0
18,20.0,469.0,537.0,3.0
19,2.0,59.0,62.0,0.0
20,2.0,65.0,86.0,1.0
21,46.0,382.0,438.0,0.0
22,14.0,336.0,353.0,6.0
23,6.0,244.0,272.0,0.0
24,94.0,3741.0,4251.0,51.0
25,8.0,143.0,156.0,0.0
26,48.0,1587.0,1637.0,8.0
27,6.0,199.0,181.0,1.0
28,10.0,222.0,252.0,0.0
29,1.0,103.0,101.0,1.0
30,5.0,308.0,332.0,7.0
31,2.0,354.0,340.0,3.0
32,23.0,550.0,636.0,6.0
33,4.0,52.0,56.0,0.0
34,14.0,235.0,238.0,7.0
35,1.0,50.0,38.0,0.0
36,2.0,92.0,117.0,1.0
37,1.0,55.0,58.0,0.0
38,21.0,575.0,680.0,1.0
39,19.0,539.0,646.0,8.0
40,13.0,413.0,483.0,3.0
41,3.0,166.0,193.0,0.0
42,5.0,221.0,297.0,0.0
43,4.0,149.0,201.0,1.0
44,9.0,179.0,193.0,4.0
45,1.0,47.0,63.0,0.0
46,8.0,338.0,389.0,1.0
47,4.0,97.0,101.0,0.0
48,10.0,266.0,315.0,2.0
49,4.0,100.0,136.0,0.0
50,19.0,618.0,653.0,1.0
51,3.0,33.0,47.0,4.0
52,16.0,604.0,692.0,10.0
53,9.0,264.0,273.0,0.0
54,9.0,197.0,204.0,3.0
55,2.0,106.0,80.0,1.0
56,8.0,440.0,477.0,1.0
57,11.0,446.0,565.0,3.0
58,5.0,255.0,265.0,26.0
59,3.0,87.0,131.0,1.0
60,16.0,434.0,461.0,4.0
61,0.0,82.0,78.0,0.0
62,1.0,19.0,70.0,0.0

