,3-28-2019,4-28-2019,5-28-2019,6-28-2019
63,6.0,88.0,142.0,1.0
64,0.0,176.0,224.0,0.0
65,1.0,76.0,99.0,0.0
66,6.0,168.0,165.0,0.0
67,6.0,101.0,131.0,0.0
68,1.0,206.0,237.0,0.0
69,3.0,126.0,142.0,2.0
70,1.0,63.0,88.0,0.0
71,2.0,82.0,92.0,2.0
72,0.0,137.0,123.0,0.0
73,1.0,48.0,69.0,0.0
74,1.0,20.0,34.0,0.0
75,1.0,19.0,19.0,0.0
76,0.0,58.0,84.0,0.0
77,0.0,38.0,36.0,0.0
78,0.0,17.0,11.0,1.0
79,1.0,38.0,38.0,1.0
80,0.0,10.0,12.0,0.0
81,1.0,46.0,37.0,0.0
82,3.0,54.0,46.0,0.0
83,3.0,32.0,22.0,0.0
84,1.0,47.0,73.0,0.0
85,7.0,92.0,137.0,0.0
86,0.0,18.0,11.0,0.0
87,1.0,22.0,46.0,0.0
88,2.0,47.0,44.0,0.0
89,1.0,47.0,40.0,0.0
90,0.0,39.0,45.0,0.0
91,0.0,4.0,7.0,0.0
92,0.0,2.0,4.0,0.0
93,2.0,7.0,7.0,0.0
94,0.0,5.0,3.0,0.0
95,0.0,2.0,3.0,0.0
96,0.0,4.0,3.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,9.0,2.0,0.0
99,0.0,14.0,23.0,0.0
100,0.0,16.0,12.0,0.0
101,0.0,8.0,15.0,0.0
102,1.0,9.0,20.0,0.0
103,0.0,17.0,16.0,0.0
104,0.0,10.0,23.0,0.0
105,0.0,4.0,18.0,1.0
106,0.0,12.0,19.0,0.0
107,1.0,54.0,74.0,2.0
108,4.0,55.0,92.0,0.0
109,0.0,41.0,50.0,0.0
110,0.0,36.0,32.0,1.0
111,2.0,45.0,59.0,0.0
112,1.0,48.0,43.0,0.0
113,1.0,36.0,45.0,0.0
114,0.0,58.0,51.0,0.0
115,0.0,22.0,42.0,0.0
116,2.0,37.0,43.0,0.0
117,1.0,25.0,39.0,0.0
118,1.0,13.0,15.0,0.0
119,3.0,14.0,16.0,1.0
120,1.0,60.0,56.0,0.0
121,8.0,122.0,134.0,1.0
122,1.0,12.0,32.0,0.0
123,1.0,2.0,2.0,0.0
124,0.0,59.0,29.0,3.0
125,0.0,10.0,15.0,0.0
126,2.0,8.0,14.0,0.0
127,0.0,47.0,37.0,0.0
128,2.0,25.0,24.0,0.0
129,2.0,75.0,84.0,0.0
130,1.0,15.0,22.0,0.0
131,1.0,57.0,56.0,0.0
132,1.0,5.0,4.0,0.0
133,0.0,6.0,3.0,0.0
134,0.0,78.0,23.0,0.0
135,3.0,93.0,172.0,0.0
136,0.0,21.0,19.0,1.0
137,0.0,38.0,41.0,0.0
138,0.0,106.0,132.0,0.0
139,5.0,47.0,55.0,2.0
140,2.0,111.0,106.0,0.0
141,1.0,77.0,99.0,0.0
142,5.0,195.0,275.0,2.0
143,0.0,2.0,10.0,0.0
144,0.0,4.0,5.0,0.0
145,0.0,33.0,32.0,0.0
146,1.0,18.0,18.0,2.0
147,0.0,9.0,29.0,0.0
148,1.0,16.0,31.0,1.0
149,0.0,31.0,29.0,0.0
150,8.0,19.0,14.0,1.0
151,1.0,12.0,21.0,0.0
152,1.0,2.0,13.0,0.0
153,0.0,4.0,5.0,0.0
154,0.0,58.0,37.0,0.0
155,0.0,10.0,25.0,0.0
156,1.0,30.0,23.0,0.0
157,4.0,54.0,72.0,0.0
158,0.0,21.0,28.0,0.0
159,1.0,25.0,50.0,0.0
160,5.0,76.0,82.0,0.0
161,0.0,5.0,8.0,0.0
162,0.0,45.0,31.0,1.0
163,1.0,42.0,61.0,0.0
164,1.0,54.0,67.0,0.0
165,6.0,64.0,63.0,1.0
166,0.0,52.0,64.0,0.0
167,2.0,37.0,38.0,0.0
168,0.0,62.0,72.0,0.0
169,0.0,14.0,17.0,0.0
170,2.0,86.0,113.0,6.0
171,2.0,51.0,52.0,1.0
172,1.0,38.0,34.0,0.0
173,2.0,107.0,89.0,0.0
174,1.0,25.0,41.0,0.0
175,0.0,39.0,48.0,0.0
176,0.0,18.0,18.0,0.0
177,0.0,10.0,21.0,0.0
178,0.0,19.0,17.0,1.0
179,0.0,35.0,42.0,0.0
180,0.0,67.0,94.0,0.0
181,0.0,29.0,27.0,0.0
182,0.0,1.0,0.0,0.0
183,0.0,3.0,11.0,0.0
184,0.0,19.0,15.0,0.0
185,0.0,9.0,6.0,0.0
186,0.0,4.0,7.0,0.0
187,0.0,6.0,8.0,0.0
188,1.0,5.0,3.0,0.0
189,0.0,2.0,7.0,0.0
190,1.0,3.0,7.0,0.0
191,0.0,5.0,4.0,0.0
192,0.0,3.0,3.0,0.0
193,0.0,2.0,3.0,0.0
194,1.0,4.0,5.0,0.0
195,0.0,2.0,7.0,0.0
196,2.0,71.0,81.0,0.0
197,1.0,16.0,15.0,0.0
198,1.0,22.0,22.0,0.0
199,0.0,18.0,11.0,0.0
200,0.0,10.0,14.0,0.0
201,1.0,5.0,11.0,0.0
202,0.0,6.0,13.0,0.0
203,0.0,13.0,16.0,0.0
204,0.0,1.0,5.0,0.0
205,0.0,11.0,9.0,0.0
206,1.0,33.0,45.0,1.0
207,1.0,13.0,20.0,1.0
208,0.0,6.0,7.0,1.0
209,0.0,14.0,5.0,0.0
210,0.0,6.0,18.0,0.0
211,1.0,5.0,12.0,0.0
212,2.0,10.0,7.0,0.0
213,0.0,11.0,8.0,0.0
214,12.0,16.0,9.0,0.0
215,0.0,8.0,16.0,0.0
216,0.0,4.0,4.0,1.0
217,0.0,3.0,2.0,0.0
218,13.0,271.0,359.0,0.0
219,2.0,25.0,43.0,0.0
220,2.0,41.0,56.0,0.0
221,0.0,43.0,21.0,0.0
222,1.0,29.0,49.0,0.0
223,5.0,34.0,137.0,0.0
224,0.0,41.0,44.0,0.0
225,0.0,22.0,27.0,0.0
226,6.0,93.0,110.0,0.0
227,1.0,60.0,40.0,0.0
228,2.0,60.0,79.0,1.0
229,4.0,116.0,145.0,0.0
230,0.0,0.0,0.0,0.0
231,0.0,59.0,73.0,0.0
233,0.0,0.0,0.0,0.0
233,3.0,178.0,171.0,0.0
234,5.0,77.0,88.0,0.0
235,6.0,79.0,102.0,0.0
236,0.0,76.0,60.0,0.0
237,0.0,46.0,48.0,0.0
238,3.0,47.0,80.0,0.0
239,6.0,60.0,64.0,0.0
240,1.0,50.0,67.0,0.0
241,3.0,25.0,37.0,1.0
242,7.0,79.0,98.0,1.0
243,2.0,54.0,75.0,0.0
244,0.0,70.0,94.0,1.0
245,3.0,64.0,65.0,0.0
246,1.0,67.0,67.0,0.0
247,4.0,110.0,101.0,0.0
248,0.0,10.0,30.0,0.0
249,1.0,7.0,7.0,0.0
250,0.0,14.0,6.0,0.0
251,0.0,4.0,5.0,0.0
252,0.0,7.0,3.0,0.0
253,0.0,3.0,1.0,0.0
254,0.0,2.0,3.0,0.0
255,1.0,2.0,1.0,0.0
256,0.0,2.0,1.0,0.0
257,0.0,7.0,5.0,0.0
258,0.0,3.0,1.0,0.0
259,0.0,1.0,3.0,0.0
260,1.0,0.0,3.0,0.0
261,0.0,7.0,5.0,0.0
262,0.0,0.0,1.0,0.0
263,0.0,11.0,10.0,0.0
264,0.0,0.0,1.0,0.0
265,0.0,2.0,6.0,0.0
266,0.0,0.0,0.0,0.0
267,1.0,3.0,4.0,0.0
268,0.0,1.0,0.0,0.0
269,0.0,3.0,10.0,0.0
270,0.0,1.0,3.0,0.0
271,0.0,18.0,7.0,0.0
272,0.0,2.0,3.0,0.0
273,0.0,2.0,8.0,0.0
274,0.0,11.0,21.0,1.0
275,0.0,21.0,32.0,0.0
276,4.0,16.0,26.0,0.0
277,13.0,52.0,59.0,0.0
278,3.0,28.0,28.0,0.0
279,0.0,41.0,57.0,0.0
280,0.0,30.0,37.0,0.0
281,2.0,23.0,31.0,0.0
282,5.0,23.0,26.0,0.0
283,0.0,29.0,23.0,0.0
284,2.0,44.0,38.0,0.0
285,6.0,36.0,36.0,0.0
286,11.0,38.0,45.0,0.0
287,3.0,45.0,45.0,1.0
288,2.0,24.0,45.0,0.0
289,0.0,0.0,0.0,0.0
290,0.0,3.0,3.0,0.0
291,0.0,4.0,12.0,0.0
292,1.0,14.0,4.0,0.0
293,0.0,5.0,5.0,0.0
294,1.0,28.0,21.0,1.0
295,0.0,8.0,13.0,1.0
296,0.0,36.0,31.0,0.0
297,1.0,37.0,51.0,1.0
298,1.0,33.0,39.0,1.0
299,4.0,58.0,51.0,1.0
300,1.0,17.0,13.0,0.0
301,0.0,24.0,20.0,0.0
302,0.0,45.0,64.0,0.0
303,2.0,15.0,9.0,0.0
305,0.0,0.0,0.0,0.0
305,1.0,42.0,68.0,0.0
306,1.0,31.0,27.0,0.0
307,0.0,51.0,51.0,0.0
308,1.0,29.0,18.0,0.0
309,1.0,31.0,35.0,0.0
310,6.0,229.0,328.0,0.0
311,11.0,305.0,367.0,2.0
312,12.0,289.0,342.0,0.0
313,1.0,15.0,36.0,1.0
314,3.0,247.0,266.0,1.0
315,2.0,299.0,292.0,0.0
316,11.0,233.0,271.0,3.0
317,2.0,137.0,160.0,5.0
318,2.0,58.0,63.0,0.0
319,3.0,80.0,106.0,0.0
320,3.0,129.0,143.0,2.0
321,1.0,131.0,124.0,2.0
322,2.0,164.0,159.0,2.0
323,2.0,55.0,80.0,0.0
324,2.0,93.0,120.0,2.0
325,2.0,165.0,178.0,2.0
326,1.0,85.0,65.0,0.0
327,1.0,193.0,216.0,1.0
328,0.0,49.0,38.0,5.0
329,0.0,107.0,138.0,21.0
330,5.0,139.0,138.0,0.0
331,3.0,183.0,205.0,0.0
332,17.0,197.0,165.0,2.0
333,2.0,159.0,250.0,0.0
334,0.0,4.0,7.0,0.0
335,1.0,19.0,14.0,0.0
336,2.0,29.0,30.0,0.0
337,0.0,8.0,5.0,0.0
338,0.0,12.0,8.0,0.0
339,3.0,21.0,12.0,0.0
340,0.0,15.0,26.0,0.0
341,0.0,1.0,4.0,0.0
342,0.0,9.0,17.0,0.0
343,0.0,2.0,4.0,0.0
344,2.0,23.0,29.0,0.0
345,0.0,49.0,51.0,1.0
346,1.0,39.0,47.0,0.0
347,3.0,101.0,114.0,0.0
348,2.0,64.0,76.0,1.0
349,1.0,55.0,59.0,0.0
