P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
534_0,29,10,49,99,51,28,35,25,74,78,91,48,35,22,74,82,62,92,19,90,48,19,60,67,72,80,94,97,10,94,62,87,82,7,0,89,47,78,58,66,50,43,11,35,20,63,64,71,41,34,5,34,66,2,60,61,92,87,5,48,55,34,61,15,78,12,67,23,44,40,16,37,17,9,86,52,26,95,93,19,6,71,3,80,56,54,99,41,53,39,47,50,85,31,56,66,72,6,67,41,90,59,3,20,75,45,94,50,66,68,3,28,43,63,59,66,7,74,21,88
534_1,84,7,96,91,27,49,38,89,93,27,42,70,6,48,32,82,92,69,19,78,37,81,94,26,15,77,26,70,72,20,69,2,6,86,83,83,85,62,16,47,48,89,41,81,71,30,51,8,63,58,89,7,56,18,42,23,52,79,43,64,18,32,7,50,18,65,9,37,32,76,41,86,52,78,98,42,83,79,12,19,40,73,43,9,58,41,98,21,67,26,69,23,8,55,95,2,7,76,89,73,95,38,67,11,9,42,51,74,92,89,15,81,76,82,29,68,28,25,88,51
534_2,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220,3220
534_3,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
534_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
535_0,27,53,19,53,49,79,78,1,76,52,16,4,81,63,69,58,58,10,54,4,28,100,37,28,74,17,81,78,91,15,45,69,23,27,93,48,6,67,74,95,35,19,74,75,44,49,11,88,55,2,21,72,54,5,73,47,4,35,18,9,64,3,97,50,57,15,56,72,12,32,41,1,60,82,48,48,11,65,50,63,56,10,53,64,49,19,79,9,32,87,4,77,89,46,28,66,100,63,53,47,77,33,40,39,52,47,55,45,46,63,84,61,82,71,47,86,31,65,33,10
535_1,10,66,11,56,41,23,54,78,12,60,4,2,10,67,35,35,29,89,88,91,72,61,92,75,97,22,67,33,91,4,77,66,9,89,79,98,83,64,91,47,4,31,99,22,66,43,26,16,3,20,45,15,31,78,91,24,32,82,90,43,21,15,21,7,55,9,71,98,36,66,26,14,62,25,56,80,99,88,8,86,88,49,18,58,6,84,60,37,33,83,53,16,41,61,90,31,33,56,80,19,17,25,87,4,12,9,17,34,90,97,6,66,81,60,27,26,32,27,54,9
535_2,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536,3536
535_3,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694
535_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
536_0,40,25,68,13,42,8,1,78,36,33,96,4,8,19,36,73,27,60,57,28,34,95,57,67,25,27,31,27,91,0,16,92,54,19,99,64,21,81,71,10,92,11,2,55,62,85,5,80,84,95,26,94,91,52,89,46,1,19,9,5,66,25,0,62,94,13,73,81,35,3,1,37,3,96,42,15,67,84,24,25,72,43,72,87,11,97,85,14,95,21,2,6,70,38,72,94,52,83,37,89,1,11,65,82,26,64,1,0,35,95,17,72,31,24,7,90,64,6,70,75
536_1,70,22,78,95,90,93,71,23,58,61,83,97,59,15,93,81,64,3,29,11,16,83,58,63,42,7,11,10,46,18,79,10,49,60,41,40,19,67,42,95,42,55,85,73,31,84,22,59,31,53,65,90,63,6,82,71,9,54,4,19,10,9,32,84,41,13,22,2,88,60,49,19,15,65,2,86,58,55,61,64,10,44,19,79,90,57,61,11,38,34,8,88,24,5,71,84,52,41,16,42,92,20,0,58,65,6,70,89,56,83,30,13,96,98,100,88,3,6,67,13
536_2,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415
536_3,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848
536_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
