P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
2207_0,63,26,91,32,81,82,24,10,64,43,15,56,17,48,44,73,94,86,2,80,94,35,75,27,82,56,66,63,55,26,52,60,13,90,29,94,13,74,86,32,13,60,60,49,50,93,46,47,54,75,73,49,84,65,13,42,92,89,15,23,77,12,31,78,42,23,26,93,56,24,65,66,58,94,52,29,30,39,26,53,32,29,85,3,69,71,39,80,15,14,94,2,4,33,81,18,48,50,8,78,38,53,45,46,25,73,5,7,7,6,47,69,14,12,22,4,96,74,9,46
2207_1,31,61,66,17,81,16,33,70,36,4,77,21,16,72,40,91,1,64,12,66,44,2,2,24,33,97,14,83,89,2,82,56,55,4,90,67,13,96,38,71,7,47,79,86,55,58,89,0,46,20,81,4,10,71,56,54,100,84,16,48,86,31,68,72,89,77,55,76,4,12,78,80,11,41,7,44,80,51,69,32,55,55,4,57,11,100,13,37,0,40,57,29,76,0,94,46,80,77,99,49,97,89,5,63,49,11,66,23,8,88,26,62,54,54,49,54,58,70,22,30
2207_2,49,3,26,68,81,19,16,52,5,48,11,26,79,17,5,56,78,25,40,79,42,62,80,1,3,24,99,35,29,87,0,56,96,86,40,99,27,1,60,28,36,13,85,61,6,70,39,46,20,57,13,10,53,100,90,60,54,59,97,90,23,46,15,27,1,84,85,46,43,39,8,37,68,34,17,11,87,58,27,4,86,42,35,34,91,47,67,29,43,31,50,44,50,23,25,10,64,47,28,13,14,4,66,91,88,20,62,68,18,76,33,51,13,79,30,62,33,79,35,75
2207_3,56,80,65,52,62,79,64,57,73,72,80,60,44,23,15,27,44,97,96,63,87,54,24,94,98,95,29,90,81,5,38,90,17,98,54,7,66,43,94,26,70,24,94,29,30,3,10,44,0,75,48,75,38,52,65,33,66,42,61,58,65,25,92,4,18,29,48,8,9,0,56,41,83,55,34,97,34,100,53,96,85,87,78,69,68,90,4,50,21,56,0,47,78,21,3,24,57,3,79,27,35,7,76,9,18,24,38,77,82,96,95,26,67,47,99,35,93,17,92,54
2207_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
2208_0,76,83,100,35,37,11,87,86,73,10,2,17,44,15,91,86,13,49,41,83,34,13,47,39,75,31,61,82,18,42,6,49,15,85,41,22,8,38,89,48,4,23,73,55,86,58,4,51,40,85,46,81,0,62,6,61,65,67,95,100,0,48,25,22,64,5,93,73,36,90,33,64,62,31,19,6,84,80,35,40,67,19,52,24,23,88,3,85,45,95,90,76,83,11,54,74,0,28,95,31,98,1,92,19,25,91,11,66,94,2,37,73,68,42,84,38,86,20,78,61
2208_1,74,70,83,62,67,81,28,0,71,9,42,64,63,29,90,87,30,64,57,29,10,44,46,63,39,96,88,33,6,95,9,34,56,74,66,87,43,7,56,85,75,62,100,41,1,96,30,1,80,5,63,67,87,95,22,50,36,31,24,7,43,80,49,98,32,46,21,36,29,32,87,76,28,2,23,66,49,62,67,76,5,10,96,33,26,92,79,98,45,35,49,77,47,30,10,34,70,85,97,54,2,50,5,29,76,94,52,55,22,7,23,86,3,13,21,2,1,77,72,13
2208_2,96,69,70,61,45,38,36,30,10,42,82,18,98,83,64,31,4,81,21,86,80,82,22,81,39,29,100,24,60,83,83,66,7,93,38,71,77,49,86,49,49,47,5,93,37,69,70,5,46,69,37,26,66,15,70,78,39,37,60,97,20,91,22,46,26,26,71,43,92,4,84,5,85,6,7,17,39,62,85,77,95,10,9,27,93,3,96,93,76,58,91,79,91,51,65,34,55,26,67,57,10,65,36,61,90,88,100,38,49,47,16,76,23,43,97,63,19,26,76,91
2208_3,46,2,22,73,11,8,76,34,3,71,4,31,92,79,40,19,6,4,9,49,34,14,11,72,36,11,75,90,84,91,38,16,86,30,5,94,17,40,12,99,91,41,11,14,24,89,62,81,17,9,29,28,6,46,13,54,74,27,15,59,22,45,10,31,56,25,73,79,89,67,24,91,41,54,30,31,10,98,48,79,11,49,20,33,14,47,33,81,80,57,18,10,36,100,53,92,36,94,54,89,24,20,1,73,6,29,41,61,62,54,0,79,83,46,43,45,43,13,88,74
2208_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
