P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
11_0,58,73,4,82,45,52,55,30,57,18,97,55,48,36,26,6,57,23,51,36,10,34,63,36,48,66,63,26,42,22,98,71,89,34,77,95,32,50,4,66,82,23,37,87,96,61,67,75,90,36,0,25,64,14,28,9,95,54,75,58,87,91,30,67,29,82,24,68,29,20,9,16,23,4,10,15,17,84,4,84,71,45,56,32,20,35,87,4,24,8,66,69,61,21,40,3,23,96,54,53,93,62,90,48,42,28,30,71,22,76,49,75,88,72,95,56,63,34,70,47
11_1,78,0,68,94,72,48,93,75,40,85,46,68,23,77,14,40,53,0,7,77,23,65,90,34,45,30,61,57,89,10,43,7,31,10,17,28,91,80,69,74,55,26,79,76,68,87,12,39,42,62,68,32,52,19,55,32,8,43,57,68,32,12,26,23,93,78,41,48,79,98,88,25,77,10,95,59,49,51,39,14,39,66,28,93,94,80,75,7,34,24,85,68,55,29,66,27,51,59,33,8,55,70,11,0,78,58,42,4,73,98,20,46,67,45,36,18,78,28,40,35
11_2,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262,25262
11_3,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731,6731
11_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
12_0,3,97,30,13,99,31,72,89,75,33,5,30,60,46,98,21,99,39,64,73,47,73,66,58,76,42,49,44,14,88,88,50,25,0,5,15,60,47,43,66,15,33,64,52,46,43,11,24,67,46,29,42,47,76,80,22,38,78,1,76,7,36,24,95,53,96,15,78,67,36,22,90,14,83,16,64,69,68,14,22,17,18,82,11,85,27,98,35,90,61,23,50,3,46,39,72,68,22,19,98,53,65,6,16,7,91,13,55,79,70,44,33,21,35,36,99,24,35,20,64
12_1,92,82,38,13,95,12,98,31,66,92,43,59,0,51,73,4,42,88,85,86,45,18,95,2,86,11,41,72,7,75,97,9,13,6,10,69,26,9,16,27,60,89,60,1,29,88,58,49,15,21,0,97,73,74,39,47,16,58,60,41,4,52,41,17,98,33,29,13,90,51,82,52,91,4,82,44,19,37,38,34,39,66,67,49,97,91,8,35,35,96,27,35,33,52,48,54,14,77,20,2,69,90,54,60,32,24,33,65,53,36,65,31,55,85,48,94,55,53,95,84
12_2,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075,4075
12_3,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
12_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
