P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
164_0,49,44,13,36,47,100,51,67,99,98,38,10,5,74,18,79,79,14,8,82,51,79,90,28,77,55,50,29,47,65,13,2,22,32,55,37,36,7,76,80,80,9,98,74,52,48,37,75,51,74,95,6,47,92,52,80,28,59,39,81,72,77,77,42,79,36,93,43,49,1,47,90,6,85,68,28,3,86,21,55,39,41,75,77,59,23,4,91,53,66,71,64,96,44,73,37,48,86,15,4,91,85,58,73,63,41,40,18,85,32,64,81,8,72,71,56,13,63,74,88
164_1,52,29,13,67,72,44,4,94,1,60,6,50,2,42,61,84,66,87,76,59,82,73,70,100,48,90,14,97,72,2,63,67,19,97,61,21,92,21,77,3,87,71,97,77,86,42,100,81,63,26,47,16,62,41,16,89,65,30,81,53,74,9,53,83,47,14,8,11,90,35,76,13,18,79,22,47,58,34,3,92,46,35,13,53,33,10,11,30,38,70,14,68,38,1,79,44,95,78,28,44,62,57,85,9,94,32,42,90,57,81,62,10,44,42,52,56,59,63,81,69
164_2,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581,12581
164_3,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998,3998
164_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
165_0,66,82,9,26,61,73,68,74,4,82,38,81,81,80,26,15,40,66,10,19,7,23,28,61,91,69,86,43,63,75,93,1,44,7,23,8,10,10,72,51,90,32,6,20,4,92,15,38,15,85,41,52,55,85,16,37,35,49,83,92,77,0,40,35,74,75,34,57,41,83,73,74,82,35,63,2,22,54,42,94,70,88,44,69,52,86,98,100,1,26,0,30,76,30,0,93,33,63,32,35,82,43,43,74,92,59,8,57,100,29,18,29,14,93,81,38,79,3,1,2
165_1,53,14,97,93,89,69,70,92,21,9,16,45,74,55,24,17,79,17,81,14,13,1,25,32,57,61,13,81,43,24,19,67,57,78,66,41,85,46,71,51,43,73,66,2,53,94,55,87,10,69,70,47,64,90,95,56,17,59,46,23,10,61,67,50,8,55,18,66,91,86,22,66,62,42,31,53,50,23,72,68,0,63,41,23,58,41,82,91,74,28,21,45,90,19,72,16,50,10,26,94,81,58,51,88,30,4,0,17,66,7,2,22,60,26,98,66,55,65,26,80
165_2,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535
165_3,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
165_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
166_0,18,52,85,77,66,27,6,5,19,0,7,72,0,24,59,29,84,19,48,2,58,76,62,6,30,15,93,94,41,38,47,39,36,71,75,3,92,88,97,45,34,23,69,1,29,26,81,49,75,32,50,50,37,26,92,0,98,30,64,79,66,69,11,96,73,7,89,99,18,18,76,66,49,81,4,91,32,52,39,52,74,65,93,43,25,10,59,83,29,42,65,28,100,43,11,20,42,10,16,54,59,15,38,90,55,9,15,59,41,0,49,29,22,97,99,80,21,11,61,42
166_1,99,99,59,21,10,12,28,62,82,85,98,100,46,43,41,76,81,96,20,2,80,93,29,52,17,80,10,24,93,90,3,63,19,7,23,23,32,16,28,54,35,85,38,5,13,32,80,18,10,64,71,4,16,77,8,88,99,59,85,70,3,66,98,95,10,22,86,44,22,35,61,51,24,44,96,62,16,67,33,99,91,55,47,28,30,91,25,70,79,90,18,12,71,70,72,9,34,71,6,4,59,45,2,25,62,47,73,68,40,33,29,22,21,11,44,94,88,64,20,71
166_2,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864,16864
166_3,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156
166_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
167_0,43,100,3,34,74,31,60,22,62,96,65,8,97,41,14,43,94,49,99,11,52,31,85,40,98,91,82,52,64,7,85,17,74,52,81,24,10,89,45,48,26,51,71,0,66,18,77,8,36,8,18,32,25,84,26,44,43,5,56,34,19,95,88,12,41,38,58,31,2,64,95,56,2,32,10,11,38,80,34,59,33,43,99,97,0,18,30,76,54,70,79,87,38,3,62,64,80,44,68,66,69,5,63,34,71,42,42,42,29,21,75,18,26,52,44,92,67,46,14,16
167_1,14,8,10,85,17,47,25,35,57,12,30,22,27,79,81,35,36,48,70,38,51,60,5,89,11,78,23,27,75,27,0,20,67,54,18,32,60,96,44,27,6,8,60,26,3,17,88,90,94,72,82,78,5,71,75,100,76,87,51,76,9,7,47,85,45,91,24,95,55,17,53,69,32,89,38,41,94,41,29,20,3,0,42,21,61,16,93,44,39,15,96,7,2,73,86,75,64,59,55,51,17,13,85,43,23,46,7,75,22,54,60,23,91,67,4,92,36,28,37,45
167_2,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343,176343
167_3,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030,48030
167_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
168_0,99,91,69,59,60,65,20,88,99,56,45,23,25,53,24,28,10,57,25,38,80,21,17,41,38,92,3,26,97,0,51,18,67,66,99,36,72,91,86,69,88,92,52,16,49,87,32,66,55,63,80,82,7,41,75,87,51,44,70,22,1,6,93,46,74,7,61,51,36,12,52,38,41,99,96,62,33,17,17,25,96,41,75,61,9,29,84,81,80,13,18,71,1,89,36,72,10,38,18,0,34,93,94,5,10,16,31,49,60,85,12,24,67,86,21,7,56,30,5,69
168_1,29,23,10,27,43,22,48,13,80,94,74,43,1,47,67,91,38,7,13,48,58,71,55,56,56,89,73,28,18,51,78,24,9,26,66,90,50,91,20,54,20,2,20,62,4,49,20,63,58,28,68,64,5,25,97,89,100,80,3,37,88,27,93,34,82,36,69,55,35,18,84,4,33,44,8,31,38,61,30,98,79,13,66,33,16,31,60,79,32,53,92,72,39,93,91,100,64,64,100,90,23,1,24,0,72,16,99,15,26,44,35,13,86,53,43,1,29,23,51,97
