P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
41_0,62,73,18,92,76,43,56,10,26,58,79,82,2,75,68,62,8,73,93,41,7,77,77,18,16,84,77,70,94,19,83,44,20,6,69,97,86,20,44,75,14,22,78,0,13,51,51,44,9,88,78,21,100,66,88,53,11,18,61,76,44,86,61,66,69,80,52,90,99,10,57,11,35,98,6,93,38,19,72,21,72,75,30,15,18,23,59,89,28,46,67,58,9,12,68,5,33,73,65,24,68,50,88,59,26,29,15,50,19,71,72,92,88,87,47,91,60,64,62,91
41_1,99,24,84,54,96,68,40,30,56,54,79,12,81,94,35,39,20,89,26,88,34,81,70,82,15,35,5,53,81,21,45,15,28,80,99,7,47,63,39,96,73,42,8,42,90,74,72,71,51,5,32,38,45,70,95,76,37,24,82,85,17,28,11,52,98,69,9,57,64,30,10,77,47,79,89,88,76,60,44,21,9,42,10,15,28,69,54,14,4,37,77,55,27,28,47,66,51,48,100,54,74,64,97,2,45,11,50,97,76,2,55,10,84,36,38,6,69,33,35,79
41_2,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838,10838
41_3,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
41_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
42_0,90,4,91,42,98,86,33,82,89,15,39,17,96,41,91,91,61,18,9,89,5,73,62,73,40,11,80,16,79,8,95,1,66,66,18,8,23,63,42,79,62,75,56,48,100,75,7,17,23,0,6,86,41,8,14,43,99,18,22,36,23,69,83,52,85,14,76,29,15,33,27,48,67,19,66,30,57,34,36,35,100,40,46,96,13,33,72,37,37,97,68,100,60,41,55,73,88,3,23,46,18,9,57,54,77,96,86,98,58,13,74,16,81,93,0,94,15,66,35,95
42_1,69,16,90,13,98,13,95,15,42,51,86,33,54,56,73,81,71,17,81,71,92,66,26,70,8,53,26,80,42,9,8,67,80,12,14,66,32,1,15,79,0,67,33,95,71,82,81,24,28,90,87,88,76,70,27,30,58,23,34,11,62,53,49,5,22,96,71,89,33,4,44,45,63,4,56,11,66,70,11,25,19,100,51,87,58,51,12,86,50,97,78,30,53,24,10,6,5,69,34,78,81,65,29,88,38,7,4,67,89,21,89,36,10,81,68,30,8,68,29,73
42_2,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588,11588
42_3,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062
42_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
