P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
31_0,74,58,17,74,25,49,90,87,6,58,23,5,50,29,10,36,49,68,92,39,66,40,100,65,51,82,44,94,50,77,12,39,60,33,95,8,27,4,33,62,98,27,31,1,76,49,49,77,29,41,17,25,95,92,84,35,37,68,0,42,4,87,100,78,41,100,13,66,83,65,32,60,17,23,25,42,47,74,53,69,19,46,94,44,42,22,32,2,79,84,37,23,56,30,85,48,95,69,35,99,27,39,55,79,7,79,30,27,36,42,32,85,1,94,50,74,46,76,7,3
31_1,12,45,44,25,57,95,33,7,14,32,29,94,90,23,81,12,35,33,81,7,22,6,26,27,96,21,77,94,2,86,74,75,75,78,68,53,82,18,81,71,3,13,40,20,20,58,51,54,41,87,77,46,78,94,64,85,51,45,91,24,42,8,25,3,56,68,24,91,34,43,27,19,97,17,94,20,22,52,27,11,36,23,31,34,36,27,76,11,55,37,72,89,27,89,81,21,65,17,76,96,13,42,29,66,97,63,49,92,87,45,55,25,29,58,24,97,90,76,0,7
31_2,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882
31_3,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
31_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
32_0,20,74,58,60,55,79,0,63,65,23,97,67,1,89,5,68,9,81,73,29,13,61,90,94,89,63,27,1,71,9,29,2,55,50,35,19,63,21,54,19,83,100,76,8,28,13,40,14,71,56,67,62,91,81,91,46,93,69,6,47,95,72,96,93,32,28,67,43,53,77,56,3,0,70,36,37,53,12,5,23,40,72,84,61,93,83,4,38,25,64,92,36,20,7,83,43,84,99,98,71,12,71,49,73,96,56,36,85,77,27,20,73,58,47,85,97,30,51,24,88
32_1,52,49,56,87,33,36,85,13,80,0,7,66,94,14,37,17,93,21,9,64,33,33,84,21,18,69,62,54,25,81,44,56,29,1,4,78,88,62,85,45,8,23,12,27,39,29,28,8,25,59,19,28,24,54,68,54,13,9,30,42,5,57,41,67,82,42,51,32,98,18,18,52,70,18,63,8,100,98,64,8,99,80,70,59,60,75,64,3,35,56,45,14,46,85,48,47,21,32,42,48,9,80,97,23,23,54,0,3,15,96,5,31,89,88,40,57,44,39,34,5
32_2,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104,8104
32_3,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743
32_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
33_0,23,39,35,10,62,73,45,27,78,33,7,32,78,0,43,5,36,56,68,18,32,17,59,87,11,82,18,56,27,36,2,72,19,43,41,74,58,56,95,37,59,50,91,93,57,91,53,34,99,54,53,24,51,53,8,38,60,7,64,5,0,66,65,94,50,86,91,82,81,79,100,48,23,42,34,5,39,91,36,90,17,83,48,62,25,5,18,97,67,31,49,73,58,43,64,17,3,20,72,6,100,69,21,53,41,88,16,14,22,21,99,58,1,54,34,44,59,24,9,8
33_1,60,47,49,3,2,78,75,100,94,84,26,84,85,25,97,87,92,52,96,12,31,40,34,92,60,0,48,63,7,44,53,16,33,1,23,64,40,74,59,79,27,20,70,14,61,53,94,15,72,1,82,85,78,69,7,34,49,20,10,11,95,20,90,27,72,19,39,64,49,79,28,13,9,2,71,68,69,43,100,70,43,97,85,85,13,62,37,17,63,19,16,21,11,87,57,33,70,34,0,28,13,94,8,8,95,74,89,50,34,95,59,42,59,95,42,37,100,63,33,32
33_2,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907
33_3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
33_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
34_0,15,82,70,35,43,28,68,61,42,35,91,47,48,96,47,64,54,14,42,8,32,56,65,54,15,28,64,15,66,99,91,85,99,5,1,67,63,77,48,0,81,92,80,37,62,14,41,82,68,74,8,31,100,27,28,53,92,10,14,22,63,6,56,70,63,58,87,3,10,75,89,29,56,10,6,46,47,5,47,95,48,77,39,34,15,61,10,12,100,75,73,75,48,15,96,93,91,89,19,94,52,88,79,84,96,60,19,96,17,44,70,36,56,43,100,48,76,5,63,64
34_1,12,17,69,38,33,5,30,30,79,2,74,96,87,80,68,83,83,6,40,68,31,78,19,62,32,32,24,59,70,60,48,25,40,10,15,4,52,88,60,56,4,87,63,81,50,99,97,49,77,94,60,71,4,76,5,2,18,44,88,5,25,20,28,29,60,1,96,5,34,100,10,12,21,11,33,91,16,32,14,32,23,6,21,92,9,8,0,27,0,62,1,88,84,25,74,39,11,34,7,76,69,36,13,91,34,8,21,80,16,37,100,4,12,28,44,32,32,61,58,83
34_2,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595
34_3,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
34_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
35_0,28,62,63,46,34,25,32,27,63,35,63,60,66,83,59,67,33,42,77,63,63,23,25,18,11,33,89,4,5,77,4,21,77,40,44,59,69,24,76,20,8,14,51,53,43,69,30,16,18,66,71,3,40,45,43,43,65,34,56,32,91,94,63,58,57,89,79,82,59,21,30,93,3,11,74,84,81,4,25,1,18,32,37,76,43,71,78,56,7,71,46,66,44,18,71,58,71,1,97,97,41,26,14,18,65,2,65,47,25,92,65,61,49,84,30,55,19,22,45,10
35_1,34,95,68,43,62,36,56,54,31,100,38,95,33,57,36,93,62,97,6,89,79,33,49,68,53,67,72,7,93,56,22,27,54,87,11,52,30,77,59,74,97,97,23,72,72,33,42,59,49,18,87,47,91,85,5,55,40,9,49,77,95,74,45,63,47,2,83,58,1,3,9,31,98,21,57,83,90,54,72,50,69,75,92,46,11,81,98,63,6,77,95,6,35,45,36,77,54,70,28,57,41,50,47,19,64,24,27,14,26,76,98,0,36,57,29,60,91,56,56,67
35_2,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005
35_3,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
