P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
63_0,61,66,33,27,38,2,27,23,83,33,45,92,61,0,95,36,84,86,100,57,68,79,73,57,28,25,36,72,9,28,0,74,12,23,4,79,31,91,15,58,48,98,96,94,9,7,53,92,15,43,61,85,33,33,8,95,95,0,52,1,35,25,65,32,19,94,96,11,93,73,75,95,93,21,0,78,94,53,6,97,79,98,94,10,58,73,21,32,4,41,99,81,0,13,39,42,37,63,60,32,55,44,63,60,34,6,40,16,96,73,75,37,53,19,13,19,48,68,26,67
63_1,37,22,6,2,41,31,74,4,18,84,71,22,81,49,88,74,42,89,21,30,4,59,20,97,53,37,78,62,17,37,51,20,78,23,90,69,10,24,3,32,37,89,74,9,40,16,83,93,43,55,93,5,53,6,53,41,30,91,85,39,48,36,56,11,24,6,43,30,97,64,97,41,88,42,92,13,97,21,45,35,61,21,26,66,25,17,57,2,3,89,44,21,30,70,74,84,75,91,11,43,91,19,70,41,70,24,70,69,50,46,84,89,86,1,0,38,36,76,10,52
63_2,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431
63_3,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657
63_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
64_0,55,59,63,87,2,62,33,53,77,54,31,4,28,83,77,41,6,19,17,96,37,26,61,27,75,11,2,62,29,7,51,14,87,52,44,36,44,16,30,97,52,36,38,84,43,29,59,72,25,47,50,14,82,1,6,13,49,32,8,15,96,67,63,57,19,63,67,4,97,30,12,58,53,51,80,66,17,70,63,26,39,17,98,88,42,61,89,16,100,99,15,72,59,96,23,70,43,27,99,62,65,6,89,44,26,24,19,33,14,50,61,89,80,35,3,74,81,11,10,19
64_1,38,35,67,42,13,90,60,6,0,8,59,14,63,33,5,20,60,74,77,100,45,95,89,100,41,65,4,81,0,11,97,97,29,10,66,100,66,5,33,61,21,70,70,50,89,53,60,78,65,40,95,58,38,45,32,58,7,60,30,63,75,44,59,49,89,52,58,4,96,75,49,65,6,61,93,100,72,55,84,61,1,8,93,36,0,47,14,79,54,20,57,77,89,53,58,59,36,65,1,75,12,46,11,71,60,55,44,3,24,59,39,80,80,61,32,77,34,57,15,29
64_2,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722,5722
64_3,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834
64_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
65_0,15,36,75,48,28,6,59,98,24,2,64,54,65,62,39,80,71,95,8,77,10,50,60,18,99,100,45,87,93,20,78,25,35,37,65,65,9,24,98,4,24,76,24,84,63,92,88,54,79,40,74,72,25,50,30,43,74,58,37,17,50,1,73,18,2,0,89,62,62,23,87,21,58,95,73,73,84,16,76,97,95,72,98,75,78,66,84,68,67,81,35,44,98,64,79,57,16,22,45,3,78,72,36,33,96,44,48,69,99,55,53,61,51,31,32,28,52,35,57,45
65_1,42,44,13,24,39,44,28,82,98,4,88,54,82,44,17,70,75,47,92,99,66,55,78,9,64,22,69,21,92,72,57,63,0,12,63,6,75,4,33,84,55,34,97,2,8,23,5,57,97,67,78,3,62,7,63,93,28,66,5,89,11,54,41,22,2,92,21,84,6,49,44,29,46,11,51,67,53,14,24,89,1,56,84,74,59,25,43,90,37,25,76,29,38,51,74,45,29,95,39,17,68,17,26,7,25,8,8,13,74,57,88,29,96,61,31,80,49,97,64,12
65_2,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191,4191
65_3,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967
65_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
