P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
415_0,52,65,20,11,64,18,2,3,2,26,93,29,29,90,0,13,63,37,70,23,36,65,26,88,35,56,33,77,33,84,15,15,89,1,36,44,18,73,24,53,6,40,30,21,56,47,26,19,13,19,58,50,35,21,3,84,32,32,53,30,71,18,67,97,96,46,42,91,94,72,71,16,66,74,91,40,5,83,61,96,97,48,74,89,48,8,98,53,84,10,28,12,2,6,22,81,26,31,28,51,47,32,15,80,18,86,84,32,31,26,31,13,23,74,9,23,47,50,15,94
415_1,88,72,98,68,34,5,90,51,44,92,68,80,71,57,6,87,13,24,43,26,87,34,22,73,59,13,73,57,76,71,31,2,59,4,14,8,54,18,90,32,30,92,28,19,37,14,40,93,73,27,84,93,40,48,64,12,67,58,88,27,85,81,14,77,63,51,36,37,2,88,85,33,82,52,26,14,5,61,43,96,69,33,82,70,61,50,21,98,28,91,39,26,27,70,6,90,7,87,89,93,65,78,36,53,74,57,82,10,27,56,5,64,27,51,76,1,91,72,93,10
415_2,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
415_3,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
415_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
416_0,5,47,53,79,71,76,42,20,13,46,52,32,7,84,52,25,65,45,49,10,60,50,5,57,68,21,42,99,90,26,9,71,62,2,9,3,11,64,54,14,44,88,10,19,69,19,40,82,97,68,4,83,79,97,62,16,53,14,37,71,25,3,18,2,39,98,46,62,54,53,44,96,64,60,63,63,56,26,64,100,0,10,77,51,24,72,61,55,42,99,65,11,64,93,88,4,72,81,8,46,43,10,10,95,61,94,84,98,87,1,68,96,80,54,16,92,98,11,57,24
416_1,88,100,24,63,25,68,53,4,75,32,1,26,72,96,96,76,71,42,67,88,40,77,22,14,34,4,39,99,75,77,73,45,28,76,36,22,28,67,90,12,60,32,82,52,43,37,90,37,91,30,26,28,65,40,50,33,96,10,51,39,55,25,69,18,87,52,41,54,27,48,94,35,76,57,56,36,25,1,37,40,91,86,20,99,18,39,29,54,26,71,33,57,38,66,69,13,96,94,98,66,37,14,13,91,98,71,49,68,96,26,96,13,13,11,88,38,15,20,24,52
416_2,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506
416_3,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
416_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
