P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
646_0,2,50,92,88,93,62,30,25,31,81,10,69,91,50,6,65,86,40,27,86,42,92,83,28,10,15,69,80,35,66,96,25,28,71,78,58,53,78,97,2,3,90,11,43,62,81,34,77,95,97,92,10,57,60,44,73,91,97,84,99,60,100,50,31,32,47,42,65,85,60,75,87,3,15,41,5,37,43,7,89,79,72,100,23,35,36,46,82,39,41,32,26,25,75,69,57,69,56,2,33,99,38,25,70,13,51,87,21,4,18,98,28,92,96,94,85,44,71,98,1
646_1,14,59,81,16,26,26,12,85,8,15,62,10,99,16,21,15,70,23,80,89,44,26,95,69,49,42,87,5,22,12,50,69,53,2,29,56,81,92,10,43,43,98,85,42,38,87,67,87,53,31,0,88,53,85,40,50,92,63,64,2,66,34,10,72,57,42,73,18,85,60,30,53,23,44,68,100,87,90,65,28,36,29,78,96,88,26,13,100,89,98,26,62,32,97,95,10,34,55,13,63,96,90,23,63,25,80,74,3,39,35,95,49,17,34,70,22,72,17,77,29
646_2,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819
646_3,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
646_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
647_0,47,52,46,12,74,89,54,82,63,61,64,21,2,4,40,93,62,21,64,41,98,76,31,22,0,59,22,45,22,56,63,47,5,43,20,68,50,88,9,95,53,59,23,35,89,89,8,43,57,60,66,46,65,52,80,1,72,22,45,50,63,46,44,66,95,58,40,54,32,25,17,29,58,57,100,35,60,43,50,61,80,92,16,96,94,51,15,67,46,64,50,100,1,69,88,48,28,79,85,89,35,4,24,93,72,96,61,16,24,74,83,95,49,97,31,42,14,71,47,8
647_1,93,3,82,40,77,29,26,97,51,95,47,62,40,21,87,49,3,65,21,48,15,66,10,41,82,89,5,56,11,58,52,49,67,41,83,74,39,22,6,81,72,37,62,76,82,58,47,63,51,3,89,100,99,26,83,24,97,62,9,25,87,48,37,57,34,56,96,43,58,38,85,77,2,75,100,29,55,67,41,98,27,40,51,74,39,72,60,83,86,89,7,84,91,75,26,62,85,45,46,63,67,51,3,28,22,29,57,31,89,72,26,79,80,67,64,64,61,96,63,74
647_2,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919,7919
647_3,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
647_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
