P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
0_0,99,96,14,3,18,88,70,15,99,35,31,17,2,62,40,64,41,11,39,76,94,91,48,52,54,70,67,12,93,2,1,89,11,9,49,22,84,91,42,83,92,49,25,18,85,90,98,36,76,12,86,93,67,40,11,50,81,51,3,40,64,2,25,57,60,30,84,52,96,37,26,87,13,58,65,57,57,29,79,83,57,75,44,17,80,45,52,92,6,31,59,63,79,68,47,11,13,70,90,76,82,39,12,81,11,14,100,24,54,17,88,2,65,89,79,62,82,14,91,76
0_1,47,52,72,83,18,56,62,75,83,76,14,19,76,39,27,25,83,99,57,94,77,12,31,22,27,17,75,62,100,50,75,59,34,24,16,19,82,76,13,34,61,60,71,51,2,19,48,100,38,30,33,12,16,16,0,20,30,80,3,71,49,15,100,15,58,27,27,45,43,24,11,75,3,89,99,90,39,1,61,93,94,38,66,9,8,23,24,8,93,27,15,4,80,42,52,45,83,13,7,100,16,27,40,36,13,37,65,96,16,96,20,87,90,42,76,89,78,4,80,56
0_2,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039,9039
0_3,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152
0_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
1_0,73,21,33,67,35,1,76,56,85,78,9,63,81,36,85,10,13,7,39,54,78,60,89,6,58,12,35,46,36,13,73,9,91,67,88,93,59,22,89,25,74,91,37,54,85,43,62,35,100,18,44,25,77,30,44,38,83,21,62,44,87,14,9,48,21,95,27,87,69,13,60,89,44,61,73,52,91,50,52,72,60,38,7,63,43,56,65,61,55,53,38,9,92,13,21,64,15,68,7,20,24,18,31,93,34,88,60,0,7,7,98,65,37,0,49,64,29,36,72,14
1_1,22,64,31,3,64,46,35,49,54,73,36,65,99,81,82,53,26,28,23,19,77,4,49,25,82,9,50,42,9,38,69,61,26,98,62,45,34,8,21,16,53,10,98,51,73,4,62,13,82,44,85,19,79,1,45,64,11,94,5,35,44,24,32,48,5,85,92,64,12,2,96,70,19,31,52,63,46,97,95,81,1,72,26,0,67,62,45,95,4,45,2,58,86,20,23,41,55,72,27,11,73,77,74,34,66,85,4,8,84,40,62,50,15,95,99,99,80,92,76,73
1_2,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534
1_3,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
1_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
