P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
275_0,37,6,48,92,89,23,56,40,13,1,68,98,72,6,68,33,91,85,8,62,56,49,2,50,54,48,86,4,70,52,40,95,22,23,40,86,0,100,52,25,1,47,60,57,78,11,69,61,5,27,12,43,80,9,35,66,59,15,45,21,38,9,58,73,7,29,8,94,72,79,88,3,98,53,43,67,33,96,79,36,66,72,77,90,44,16,71,15,87,79,27,93,74,9,69,37,28,47,36,44,84,91,12,25,68,81,13,32,100,20,68,30,48,7,65,80,93,56,89,85
275_1,25,40,30,3,91,32,21,40,4,43,26,76,90,78,88,58,86,56,45,22,65,73,24,43,3,63,39,39,17,60,54,20,42,14,40,11,33,98,19,78,63,39,81,12,43,3,49,39,95,6,68,36,13,50,60,75,92,35,49,43,5,16,13,40,77,61,64,76,27,58,40,9,31,51,95,48,33,55,71,9,21,53,77,48,45,91,14,57,37,41,65,15,98,10,100,47,24,10,59,72,7,96,3,76,83,47,92,37,3,43,7,67,64,36,23,90,76,82,49,84
275_2,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342,18342
275_3,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246,2246
275_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
276_0,23,3,55,2,20,96,23,54,42,42,37,89,78,26,28,64,54,26,57,13,18,86,33,29,100,23,100,1,35,86,79,98,50,23,84,54,46,95,46,40,84,33,72,65,41,33,35,32,44,33,93,22,67,36,37,86,9,75,90,63,54,12,0,3,9,67,11,3,4,28,64,60,86,59,3,14,87,32,81,84,59,47,74,31,3,71,80,27,13,22,93,20,77,36,99,100,77,4,9,32,60,97,96,38,38,95,51,42,62,40,48,11,57,88,4,14,25,28,28,24
276_1,54,95,48,38,80,24,95,29,68,33,70,95,95,38,45,91,64,68,77,5,8,48,76,36,18,15,63,7,28,55,98,79,6,98,16,82,54,20,78,67,38,86,49,93,15,89,46,12,88,21,90,81,69,14,95,31,55,27,36,43,55,94,75,45,66,93,99,100,88,41,80,87,75,79,87,91,95,12,42,24,59,91,63,77,12,100,57,31,44,19,90,97,71,60,67,77,52,93,64,57,15,58,32,79,32,79,77,95,21,100,74,33,76,56,71,79,82,95,47,25
276_2,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568,17568
276_3,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686
276_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
