P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
51_0,76,54,81,19,6,37,27,28,39,72,96,69,38,82,62,78,65,74,8,52,62,47,59,4,45,95,59,40,56,44,56,77,89,20,61,38,57,46,53,18,89,11,93,85,52,64,0,11,82,86,36,2,57,15,0,49,88,36,5,73,15,19,98,17,40,75,52,80,63,33,25,75,75,25,68,49,79,20,17,9,17,13,44,78,38,32,85,39,92,14,58,49,31,99,58,36,46,72,3,16,71,94,51,97,20,82,99,92,98,22,23,53,72,4,57,11,41,2,44,85
51_1,3,41,65,71,97,19,58,84,33,90,53,12,59,17,96,50,25,51,46,27,69,65,37,30,40,24,35,30,20,62,97,76,55,42,30,51,24,93,36,69,85,13,89,31,2,50,36,69,25,36,50,82,93,47,19,3,90,70,89,21,41,81,37,97,99,61,63,59,99,34,28,46,21,51,1,42,0,44,76,79,83,83,54,0,95,95,18,89,62,26,98,58,20,22,89,100,31,77,51,94,93,43,77,62,9,20,35,64,18,30,38,24,77,63,98,89,80,71,86,100
51_2,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739,5739
51_3,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
51_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
52_0,5,49,29,47,8,54,85,2,78,92,60,78,17,54,47,41,60,86,15,55,25,16,4,62,31,35,98,40,91,44,93,100,38,11,49,66,11,70,83,12,58,65,17,13,80,43,47,37,21,31,79,66,80,52,21,74,64,67,74,33,45,34,86,50,85,65,63,90,93,55,7,60,46,36,49,73,15,88,17,42,85,34,47,26,47,36,65,32,42,48,91,25,84,3,24,65,65,95,45,70,0,19,33,40,86,85,53,57,63,69,39,37,8,31,66,66,79,87,48,21
52_1,34,6,55,72,46,5,48,25,89,19,43,72,95,87,57,71,17,87,70,30,29,22,66,38,40,70,79,21,3,61,33,83,10,30,5,15,45,61,82,8,83,64,82,12,23,87,2,23,23,14,53,90,3,98,89,32,49,22,83,50,28,35,83,34,97,99,88,47,50,36,81,8,70,24,47,85,72,100,83,26,4,25,44,42,80,25,48,71,56,43,35,56,64,84,50,78,26,95,52,9,56,64,58,98,65,86,17,81,17,73,90,54,53,82,25,46,39,37,53,31
52_2,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761
52_3,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737
52_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
53_0,20,28,36,41,86,50,69,46,56,3,51,95,26,50,89,29,32,1,39,68,1,58,69,67,16,8,42,89,24,0,72,63,40,97,76,33,54,7,12,55,19,91,35,28,6,64,89,77,13,55,7,65,0,68,76,34,32,90,26,33,10,63,83,66,6,97,50,33,11,58,19,57,40,76,46,23,5,17,18,99,38,18,88,80,27,62,100,73,69,70,78,47,89,61,7,23,74,31,71,69,1,64,78,60,31,98,46,74,84,80,46,49,88,59,51,85,90,46,71,41
53_1,44,33,88,100,39,22,68,3,37,86,30,97,54,7,33,92,87,70,7,56,79,35,61,29,64,34,47,18,48,76,85,45,92,56,98,97,95,5,3,10,54,22,83,54,88,90,32,8,83,57,69,7,66,7,32,31,99,96,18,25,2,56,97,39,30,21,30,90,88,41,57,24,14,31,44,0,72,2,56,60,63,25,34,39,55,37,61,19,49,49,69,55,49,16,92,82,38,58,94,84,1,28,73,5,66,72,15,59,88,84,53,39,86,76,92,35,21,17,64,13
53_2,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256,8256
53_3,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026
53_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
54_0,7,57,47,95,18,31,45,99,50,68,48,19,0,72,34,33,16,20,96,61,30,50,57,29,7,0,67,83,74,81,16,64,95,92,81,2,1,34,15,63,75,94,17,94,93,3,21,78,26,14,73,71,79,44,65,4,91,98,93,87,36,32,8,70,17,16,96,39,87,5,36,18,93,13,69,82,21,40,52,10,78,19,50,32,93,25,68,20,86,47,60,75,100,99,37,98,95,59,46,67,66,50,47,58,26,10,45,18,84,85,55,34,85,9,26,95,87,95,56,20
54_1,23,57,100,70,32,99,47,31,87,91,98,49,95,20,36,17,26,6,16,62,35,42,40,7,28,32,53,37,0,11,29,82,6,78,36,51,62,26,47,15,53,57,21,54,19,26,69,63,0,28,100,13,3,40,50,11,27,88,35,25,21,56,92,16,100,37,18,22,86,96,78,87,35,12,62,5,24,84,66,58,18,92,41,44,28,72,28,6,43,47,52,28,81,99,85,14,53,10,16,9,80,69,66,15,11,76,88,45,94,31,92,4,56,58,66,4,5,10,52,75
54_2,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818,17818
