P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
11619_0,95,94,39,16,53,56,12,26,35,34,38,63,21,49,67,77,85,33,69,65,93,97,52,95,54,2,32,96,48,30,0,25,9,22,86,15,36,35,86,67,86,100,76,14,95,32,100,60,52,84,75,10,22,59,77,3,9,87,67,64,70,48,94,36,19,14,90,36,20,71,71,95,67,100,97,19,89,66,27,10,29,20,55,5,90,54,73,52,48,4,85,38,80,44,58,66,42,8,32,70,43,6,29,84,51,41,77,46,45,30,31,17,94,50,15,84,87,40,89,98
11619_1,51,75,32,26,64,15,65,0,67,43,5,9,91,74,93,36,60,93,32,34,85,28,19,59,18,57,21,96,57,12,63,77,85,28,68,99,88,89,62,33,24,63,74,19,60,51,52,82,46,85,97,8,48,89,91,2,25,39,97,22,68,38,52,45,68,29,23,84,15,2,94,36,12,85,34,85,52,93,90,2,2,50,4,84,27,40,74,0,93,39,2,85,51,72,73,94,13,82,5,30,52,61,95,42,89,66,50,33,3,16,87,34,22,14,34,38,76,31,66,59
11619_2,97,29,85,72,74,28,28,15,49,54,15,85,87,62,9,76,30,37,91,92,96,61,74,48,49,34,3,3,75,44,69,33,78,92,37,78,73,21,14,81,89,36,16,72,4,33,62,72,11,86,92,17,7,11,53,92,87,49,39,67,81,89,1,16,50,21,73,22,74,83,20,61,38,74,18,52,15,4,76,61,67,71,33,31,100,55,72,7,49,87,71,97,36,33,89,6,46,36,23,72,13,38,97,67,1,53,16,16,40,67,18,67,83,55,66,34,7,12,92,20
11619_3,31,54,46,73,66,66,2,0,96,67,42,9,81,100,24,38,58,31,54,50,47,11,91,17,79,13,81,84,21,68,39,9,20,3,24,17,92,92,36,34,7,8,46,49,17,2,58,23,77,6,2,61,39,84,78,0,97,2,55,79,87,98,67,17,41,18,94,36,2,12,76,91,69,26,7,4,35,55,17,37,39,17,34,73,20,2,24,15,37,29,37,93,55,47,77,36,43,81,99,56,87,83,13,1,54,77,57,81,65,15,86,47,98,57,51,52,55,62,87,18
11619_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
11620_0,74,71,96,85,91,0,95,21,4,99,28,100,30,98,98,80,0,89,15,61,14,52,24,72,1,48,39,100,33,78,77,45,56,6,83,47,24,85,34,68,98,16,29,7,74,2,9,67,92,83,83,52,44,91,77,26,19,28,27,64,18,94,34,25,15,46,76,95,63,96,11,59,65,41,92,27,24,12,92,100,80,13,44,62,7,39,27,25,68,54,74,26,51,98,78,43,49,52,88,96,19,9,0,42,94,63,18,7,21,93,97,75,12,33,12,6,74,25,97,86
11620_1,65,97,67,4,9,64,30,30,43,12,1,95,8,62,26,29,66,28,80,48,67,5,21,18,17,98,87,75,87,17,29,95,2,5,20,20,50,57,91,71,73,97,73,36,81,98,23,87,86,95,59,81,69,28,15,51,74,33,54,31,18,41,35,85,55,27,74,73,47,58,8,3,93,10,98,22,26,7,29,31,91,37,92,68,77,28,75,89,64,23,25,46,58,92,88,74,90,61,18,31,47,75,40,26,48,70,71,31,86,30,92,91,40,71,18,64,16,3,90,89
11620_2,40,93,1,99,15,53,96,98,58,0,96,41,89,95,18,53,26,21,51,62,62,35,69,13,60,49,94,33,4,76,89,62,72,17,63,47,38,100,76,24,85,0,24,33,91,54,76,18,73,47,77,38,35,15,22,7,15,48,26,99,36,76,74,47,87,0,17,72,70,0,49,81,13,60,50,15,73,69,85,25,16,57,19,21,98,34,10,12,19,36,14,96,16,99,79,34,59,45,61,70,83,42,11,16,73,26,57,93,53,63,12,67,88,59,10,12,81,97,54,51
11620_3,55,93,66,82,21,26,78,75,1,22,30,60,88,2,85,97,20,91,33,98,21,97,37,39,54,81,56,95,39,88,45,6,76,64,0,27,49,53,100,3,2,21,34,34,81,70,50,34,54,41,52,7,83,49,28,81,36,3,11,81,48,95,6,1,74,3,60,51,4,35,36,20,5,5,75,48,65,6,61,49,48,1,93,73,1,2,62,88,92,73,43,2,59,85,45,58,32,73,35,69,89,53,78,55,41,21,72,100,41,48,54,15,41,83,44,79,66,31,84,54
11620_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
11621_0,6,17,49,62,53,78,49,38,66,56,48,48,26,69,71,92,74,66,90,22,66,98,88,99,89,0,91,80,42,61,27,23,10,51,11,64,76,33,73,20,14,28,15,16,66,69,46,34,78,20,93,36,46,28,75,38,85,68,88,49,61,20,29,42,68,37,71,2,6,10,80,45,83,76,82,41,63,53,76,88,9,82,97,18,6,54,91,0,30,8,14,3,57,80,75,41,92,82,85,82,57,84,44,62,10,25,86,30,40,47,88,60,52,69,72,55,39,40,15,72
11621_1,79,48,38,6,84,7,31,19,84,83,9,27,16,27,42,44,81,72,76,72,42,72,30,68,68,50,90,64,91,20,42,4,11,38,69,96,25,16,10,41,30,69,2,15,81,44,53,8,83,49,92,44,58,18,18,36,36,96,90,76,54,28,88,95,12,24,29,57,76,45,37,5,77,64,64,56,91,6,95,75,74,49,26,30,71,51,100,36,45,29,38,30,7,46,49,11,4,55,85,15,37,62,3,96,26,97,91,54,24,43,79,61,0,30,62,90,16,58,68,18
11621_2,29,11,25,74,60,36,62,46,87,82,4,67,16,91,56,33,78,59,24,19,7,21,84,58,89,75,77,26,54,74,17,39,63,64,89,54,49,0,31,79,100,56,53,17,93,32,24,83,80,54,83,44,9,23,60,1,79,83,33,41,78,78,93,99,85,32,25,87,37,59,58,23,84,69,23,47,12,28,8,11,19,4,49,72,20,0,71,96,92,54,34,84,21,41,21,69,25,11,45,100,57,60,4,89,95,46,59,99,12,76,61,50,92,70,5,87,41,78,90,60
11621_3,45,82,53,99,77,84,81,44,55,61,88,94,89,30,77,44,2,3,100,8,1,95,47,51,6,5,78,12,53,89,34,50,75,64,66,97,98,24,44,94,93,40,74,8,72,39,68,99,35,65,79,81,5,45,70,12,97,37,0,76,88,30,22,10,91,54,55,0,35,41,46,71,20,40,78,63,56,80,75,43,8,19,29,65,5,46,89,43,11,74,73,96,11,4,30,36,82,5,22,16,58,55,17,2,65,89,63,92,59,76,80,39,24,93,75,49,85,87,62,64
11621_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
