P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
755_0,95,18,89,10,72,26,55,62,59,41,89,86,38,37,54,9,32,3,17,39,30,15,59,68,68,46,6,100,14,41,75,65,1,64,34,47,98,100,66,86,17,100,9,39,74,8,36,26,28,60,7,23,57,38,4,56,44,55,83,44,89,70,48,8,28,70,64,82,31,56,71,11,42,86,49,13,62,84,16,48,63,75,29,50,30,40,92,5,97,90,31,77,71,9,0,78,79,21,97,88,33,33,5,35,31,73,85,97,22,85,58,7,45,51,31,94,56,8,93,65
755_1,70,83,13,48,36,53,75,78,30,11,81,26,2,40,1,60,100,22,37,34,80,53,23,9,82,8,16,17,70,75,77,68,77,92,40,25,47,49,19,12,66,51,6,19,34,51,99,86,20,43,73,20,74,48,38,52,32,38,32,22,58,48,52,83,29,0,45,23,1,100,43,49,14,34,29,18,15,88,0,26,6,82,28,12,7,35,30,2,35,34,44,38,67,64,1,45,56,80,45,98,91,27,94,50,79,1,54,35,8,82,46,50,76,78,15,47,37,94,82,83
755_2,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
755_3,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882
755_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
756_0,36,34,55,18,5,30,34,63,80,85,55,30,17,83,85,95,8,90,76,97,40,97,15,74,17,72,96,52,29,87,6,60,9,95,99,64,11,43,44,77,93,76,55,23,37,36,82,70,79,63,66,11,98,44,37,89,38,30,12,34,100,63,83,37,89,100,93,12,57,94,11,72,21,49,76,67,19,40,82,8,52,44,39,84,59,5,56,41,91,6,56,74,69,42,29,1,92,72,13,72,71,99,47,41,32,71,41,46,80,72,52,39,47,51,12,93,94,91,30,30
756_1,88,25,86,46,17,14,8,78,13,48,30,70,55,12,32,42,58,18,9,53,95,81,77,43,32,57,37,18,55,89,35,98,45,94,88,57,74,0,9,92,66,89,50,63,93,82,41,85,16,52,68,98,6,72,39,51,12,52,60,42,36,65,86,57,6,70,26,91,83,86,48,0,71,57,42,91,80,72,75,82,20,46,20,96,85,100,48,30,56,74,0,84,24,44,30,10,11,78,38,14,4,73,71,71,64,46,23,62,41,94,16,73,97,88,16,79,93,74,67,14
756_2,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
756_3,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791,791
756_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
