,5-28-2018,6-28-2018,7-28-2018,5-28-2021
63,57.0,114.0,54.0,114.0
64,149.0,179.0,97.0,97.0
65,73.0,63.0,35.0,73.0
66,94.0,162.0,62.0,62.0
67,65.0,81.0,45.0,81.0
68,117.0,204.0,105.0,117.0
69,93.0,126.0,66.0,93.0
70,55.0,69.0,33.0,55.0
71,69.0,92.0,51.0,92.0
72,65.0,102.0,54.0,54.0
73,54.0,58.0,21.0,58.0
74,12.0,24.0,8.0,12.0
75,13.0,32.0,12.0,12.0
76,37.0,55.0,25.0,37.0
77,19.0,43.0,20.0,20.0
78,10.0,24.0,9.0,10.0
79,11.0,27.0,9.0,27.0
80,0.0,29.0,58.0,29.0
81,22.0,45.0,25.0,25.0
82,28.0,39.0,21.0,39.0
83,26.0,19.0,10.0,26.0
84,43.0,64.0,21.0,43.0
85,74.0,104.0,35.0,35.0
86,9.0,13.0,7.0,9.0
87,13.0,12.0,44.0,12.0
88,46.0,28.0,21.0,28.0
89,10.0,29.0,7.0,10.0
90,21.0,35.0,9.0,21.0
91,4.0,4.0,2.0,4.0
92,0.0,2.0,0.0,2.0
93,5.0,4.0,0.0,4.0
94,3.0,15.0,6.0,6.0
95,13.0,25.0,6.0,13.0
96,3.0,5.0,1.0,1.0
97,1.0,0.0,3.0,3.0
98,2.0,4.0,4.0,4.0
99,4.0,33.0,22.0,4.0
100,2.0,22.0,12.0,12.0
101,5.0,13.0,6.0,5.0
102,8.0,19.0,11.0,11.0
103,9.0,16.0,5.0,5.0
104,11.0,41.0,16.0,41.0
105,9.0,18.0,7.0,7.0
106,5.0,29.0,17.0,29.0
107,40.0,56.0,33.0,33.0
108,37.0,42.0,20.0,37.0
109,40.0,37.0,29.0,29.0
110,36.0,34.0,22.0,34.0
111,45.0,52.0,24.0,24.0
112,37.0,48.0,14.0,48.0
113,36.0,39.0,24.0,24.0
114,44.0,38.0,23.0,23.0
115,26.0,40.0,21.0,21.0
116,24.0,59.0,15.0,24.0
117,27.0,27.0,11.0,27.0
118,14.0,9.0,10.0,9.0
119,12.0,12.0,13.0,12.0
120,39.0,61.0,27.0,39.0
121,54.0,116.0,45.0,45.0
122,15.0,39.0,9.0,9.0
123,3.0,4.0,6.0,4.0
124,8.0,10.0,13.0,10.0
125,8.0,7.0,2.0,7.0
126,9.0,14.0,13.0,13.0
127,30.0,35.0,24.0,35.0
128,26.0,22.0,9.0,26.0
129,42.0,68.0,41.0,68.0
130,2.0,3.0,6.0,3.0
131,27.0,47.0,17.0,27.0
132,3.0,12.0,1.0,3.0
133,3.0,4.0,1.0,3.0
134,21.0,33.0,18.0,18.0
135,70.0,103.0,44.0,103.0
136,6.0,28.0,9.0,28.0
137,30.0,27.0,15.0,15.0
138,78.0,100.0,53.0,53.0
139,22.0,30.0,22.0,22.0
140,30.0,35.0,48.0,30.0
141,71.0,121.0,55.0,71.0
142,112.0,188.0,84.0,188.0
143,4.0,3.0,2.0,2.0
144,2.0,4.0,0.0,0.0
145,30.0,43.0,10.0,43.0
146,10.0,10.0,10.0,10.0
147,7.0,9.0,1.0,9.0
148,15.0,18.0,6.0,18.0
149,25.0,36.0,14.0,25.0
150,7.0,9.0,8.0,7.0
151,10.0,9.0,3.0,9.0
152,4.0,10.0,2.0,4.0
153,7.0,24.0,8.0,24.0
154,34.0,40.0,32.0,40.0
155,7.0,7.0,10.0,7.0
156,23.0,18.0,14.0,23.0
157,38.0,47.0,23.0,38.0
158,9.0,12.0,2.0,12.0
159,23.0,35.0,16.0,16.0
160,59.0,79.0,28.0,79.0
161,1.0,2.0,1.0,1.0
162,16.0,13.0,6.0,13.0
163,32.0,51.0,25.0,51.0
164,43.0,55.0,33.0,43.0
165,36.0,63.0,20.0,36.0
166,37.0,47.0,30.0,37.0
167,39.0,36.0,17.0,36.0
168,36.0,60.0,46.0,36.0
169,8.0,12.0,9.0,12.0
170,64.0,86.0,40.0,40.0
171,38.0,33.0,24.0,38.0
172,37.0,41.0,18.0,37.0
173,68.0,76.0,46.0,46.0
174,12.0,26.0,5.0,5.0
175,24.0,54.0,27.0,24.0
176,12.0,16.0,12.0,12.0
177,10.0,11.0,7.0,10.0
178,4.0,4.0,6.0,4.0
179,21.0,36.0,25.0,25.0
180,36.0,50.0,28.0,36.0
181,21.0,34.0,19.0,21.0
182,1.0,3.0,0.0,0.0
183,0.0,4.0,2.0,2.0
184,12.0,13.0,6.0,13.0
185,2.0,6.0,4.0,6.0
186,0.0,3.0,1.0,3.0
187,5.0,8.0,1.0,5.0
188,4.0,6.0,2.0,2.0
189,2.0,3.0,0.0,2.0
190,3.0,9.0,0.0,9.0
191,2.0,5.0,0.0,5.0
192,1.0,2.0,4.0,1.0
193,2.0,9.0,1.0,2.0
194,3.0,1.0,2.0,3.0
195,7.0,15.0,6.0,7.0
196,50.0,84.0,32.0,50.0
197,4.0,10.0,7.0,4.0
198,13.0,12.0,13.0,12.0
199,12.0,23.0,9.0,9.0
200,17.0,17.0,10.0,17.0
201,1.0,9.0,2.0,2.0
202,18.0,9.0,5.0,9.0
203,11.0,9.0,6.0,9.0
204,5.0,5.0,5.0,5.0
205,15.0,4.0,7.0,15.0
206,25.0,28.0,10.0,25.0
207,7.0,14.0,15.0,7.0
208,2.0,5.0,7.0,5.0
209,5.0,10.0,7.0,10.0
210,7.0,18.0,5.0,7.0
211,0.0,5.0,2.0,5.0
212,11.0,12.0,12.0,12.0
213,4.0,8.0,3.0,4.0
214,7.0,8.0,6.0,6.0
215,5.0,12.0,2.0,12.0
216,4.0,4.0,1.0,4.0
217,3.0,7.0,5.0,5.0
218,186.0,251.0,128.0,128.0
219,24.0,36.0,18.0,18.0
220,46.0,47.0,30.0,47.0
221,38.0,33.0,16.0,16.0
222,25.0,38.0,23.0,23.0
223,66.0,41.0,31.0,31.0
224,25.0,28.0,20.0,20.0
225,20.0,23.0,10.0,10.0
226,62.0,87.0,37.0,62.0
227,39.0,36.0,12.0,12.0
228,56.0,57.0,33.0,57.0
229,103.0,160.0,76.0,160.0
230,0.0,0.0,0.0,0.0
231,37.0,78.0,32.0,37.0
233,0.0,0.0,0.0,0.0
233,88.0,187.0,95.0,95.0
234,70.0,69.0,49.0,49.0
235,44.0,98.0,31.0,44.0
236,59.0,60.0,24.0,24.0
237,35.0,54.0,16.0,16.0
238,17.0,22.0,7.0,22.0
239,31.0,77.0,44.0,31.0
240,25.0,53.0,26.0,53.0
241,21.0,11.0,9.0,11.0
242,53.0,86.0,31.0,31.0
243,35.0,54.0,23.0,23.0
244,44.0,66.0,29.0,44.0
245,37.0,58.0,32.0,58.0
246,46.0,67.0,37.0,67.0
247,77.0,79.0,40.0,77.0
248,5.0,14.0,4.0,5.0
249,1.0,4.0,1.0,1.0
250,1.0,5.0,3.0,5.0
251,0.0,2.0,0.0,2.0
252,0.0,4.0,1.0,0.0
253,0.0,0.0,5.0,5.0
254,1.0,0.0,0.0,1.0
255,0.0,3.0,2.0,2.0
256,0.0,0.0,1.0,0.0
257,1.0,6.0,2.0,2.0
258,4.0,5.0,2.0,5.0
259,0.0,0.0,0.0,0.0
260,1.0,3.0,1.0,1.0
261,0.0,9.0,3.0,3.0
262,2.0,0.0,1.0,2.0
263,4.0,3.0,6.0,4.0
264,0.0,0.0,0.0,0.0
265,1.0,0.0,0.0,0.0
266,0.0,1.0,0.0,0.0
267,3.0,5.0,1.0,5.0
268,1.0,0.0,1.0,1.0
269,3.0,3.0,1.0,3.0
270,0.0,0.0,0.0,0.0
271,2.0,13.0,2.0,2.0
272,9.0,5.0,11.0,11.0
273,0.0,2.0,1.0,0.0
274,8.0,18.0,10.0,8.0
275,35.0,26.0,8.0,8.0
276,27.0,21.0,13.0,13.0
277,47.0,50.0,66.0,47.0
278,26.0,42.0,4.0,42.0
279,49.0,49.0,21.0,21.0
280,9.0,30.0,12.0,9.0
281,32.0,66.0,21.0,21.0
282,22.0,47.0,8.0,8.0
283,37.0,40.0,11.0,37.0
284,36.0,27.0,9.0,9.0
285,30.0,31.0,8.0,30.0
286,32.0,39.0,23.0,23.0
287,29.0,30.0,20.0,29.0
288,26.0,25.0,16.0,26.0
289,0.0,0.0,0.0,0.0
290,2.0,6.0,0.0,2.0
291,7.0,4.0,3.0,7.0
292,8.0,5.0,1.0,5.0
293,10.0,28.0,5.0,28.0
294,18.0,40.0,18.0,18.0
295,7.0,21.0,8.0,7.0
296,19.0,30.0,4.0,30.0
297,42.0,56.0,25.0,42.0
298,46.0,56.0,21.0,56.0
299,43.0,35.0,22.0,22.0
300,8.0,7.0,10.0,8.0
301,18.0,17.0,4.0,4.0
302,21.0,27.0,34.0,21.0
303,29.0,32.0,29.0,32.0
305,0.0,0.0,0.0,0.0
305,24.0,50.0,24.0,24.0
306,18.0,26.0,13.0,18.0
307,23.0,26.0,19.0,23.0
308,21.0,27.0,19.0,27.0
309,29.0,26.0,21.0,21.0
310,171.0,233.0,110.0,110.0
311,173.0,289.0,134.0,173.0
312,166.0,197.0,104.0,104.0
313,13.0,36.0,8.0,36.0
314,146.0,172.0,91.0,172.0
315,176.0,230.0,138.0,138.0
316,197.0,236.0,109.0,197.0
317,76.0,120.0,65.0,120.0
318,63.0,58.0,31.0,31.0
319,71.0,81.0,44.0,71.0
320,116.0,140.0,42.0,140.0
321,56.0,116.0,50.0,56.0
322,141.0,178.0,113.0,113.0
323,32.0,64.0,32.0,64.0
324,65.0,94.0,48.0,94.0
325,106.0,155.0,75.0,106.0
326,54.0,101.0,37.0,54.0
327,115.0,210.0,102.0,115.0
328,37.0,74.0,47.0,47.0
329,147.0,240.0,168.0,168.0
330,90.0,140.0,51.0,51.0
331,107.0,144.0,72.0,107.0
332,100.0,199.0,98.0,199.0
333,138.0,189.0,89.0,138.0
334,4.0,4.0,0.0,0.0
335,2.0,4.0,2.0,2.0
336,6.0,7.0,4.0,6.0
337,3.0,3.0,1.0,1.0
338,2.0,2.0,2.0,2.0
339,11.0,15.0,6.0,11.0
340,7.0,7.0,1.0,7.0
341,1.0,2.0,0.0,0.0
342,2.0,8.0,3.0,8.0
343,0.0,0.0,0.0,0.0
344,2.0,3.0,0.0,3.0
345,29.0,50.0,14.0,29.0
346,43.0,59.0,25.0,43.0
347,44.0,76.0,36.0,76.0
348,28.0,46.0,22.0,46.0
349,39.0,54.0,29.0,39.0
350,41.0,51.0,33.0,33.0
351,64.0,116.0,60.0,60.0
352,19.0,25.0,9.0,19.0
353,34.0,75.0,25.0,25.0
354,44.0,51.0,33.0,33.0
355,39.0,53.0,25.0,25.0
356,61.0,70.0,37.0,61.0
357,34.0,41.0,19.0,19.0
358,33.0,66.0,29.0,33.0
359,72.0,107.0,45.0,107.0
360,38.0,30.0,11.0,30.0
361,25.0,38.0,9.0,25.0
362,14.0,17.0,13.0,13.0
363,21.0,40.0,11.0,40.0
364,33.0,39.0,19.0,33.0
365,20.0,44.0,12.0,44.0
366,14.0,14.0,10.0,14.0
367,34.0,49.0,23.0,34.0
368,22.0,13.0,12.0,22.0
369,42.0,59.0,30.0,59.0
370,26.0,16.0,15.0,26.0
371,30.0,51.0,18.0,51.0
372,31.0,45.0,26.0,31.0
373,60.0,91.0,42.0,91.0
374,31.0,46.0,27.0,27.0
375,37.0,26.0,17.0,17.0
376,17.0,21.0,4.0,17.0
377,23.0,36.0,17.0,36.0
378,26.0,30.0,27.0,27.0
379,24.0,26.0,13.0,26.0
380,14.0,21.0,14.0,14.0
381,23.0,30.0,16.0,23.0
382,15.0,10.0,5.0,15.0
383,10.0,17.0,6.0,6.0
384,4.0,4.0,5.0,4.0
385,15.0,16.0,6.0,15.0
386,8.0,7.0,7.0,7.0
387,6.0,4.0,3.0,3.0
389,0.0,0.0,0.0,0.0
389,21.0,12.0,9.0,12.0
390,12.0,11.0,8.0,11.0
391,5.0,16.0,9.0,9.0
392,18.0,34.0,23.0,34.0
393,4.0,0.0,1.0,4.0
394,2.0,4.0,0.0,2.0
395,4.0,3.0,3.0,3.0
396,6.0,10.0,8.0,8.0
397,0.0,4.0,3.0,3.0
398,6.0,13.0,8.0,13.0
399,27.0,23.0,25.0,27.0
400,5.0,2.0,1.0,5.0
401,11.0,12.0,8.0,8.0
402,4.0,5.0,5.0,5.0
403,2.0,1.0,1.0,1.0
404,5.0,10.0,2.0,5.0
405,37.0,48.0,9.0,9.0
406,31.0,26.0,8.0,8.0
407,28.0,68.0,23.0,28.0
408,32.0,51.0,21.0,21.0
409,11.0,18.0,13.0,11.0
410,16.0,27.0,15.0,15.0
411,5.0,17.0,17.0,5.0
412,4.0,16.0,9.0,9.0
413,8.0,36.0,20.0,20.0
414,5.0,31.0,12.0,5.0
