,11-28-2018,12-28-2018,1-28-2019,8-28-2021
63,47.0,124.0,82.0,124.0
64,56.0,153.0,154.0,154.0
65,37.0,70.0,84.0,37.0
66,59.0,158.0,100.0,100.0
67,36.0,85.0,83.0,85.0
68,70.0,211.0,163.0,70.0
69,62.0,97.0,119.0,62.0
70,18.0,83.0,49.0,18.0
71,30.0,87.0,82.0,87.0
72,51.0,111.0,97.0,97.0
73,27.0,50.0,40.0,50.0
74,11.0,30.0,12.0,11.0
75,0.0,1.0,12.0,12.0
76,29.0,59.0,45.0,29.0
77,7.0,39.0,25.0,25.0
78,0.0,1.0,6.0,0.0
79,19.0,45.0,25.0,45.0
80,0.0,2.0,8.0,2.0
81,22.0,31.0,28.0,28.0
82,12.0,29.0,12.0,29.0
83,14.0,11.0,27.0,14.0
84,34.0,39.0,42.0,34.0
85,44.0,91.0,83.0,83.0
86,4.0,8.0,17.0,4.0
87,7.0,17.0,12.0,17.0
88,43.0,96.0,23.0,96.0
89,10.0,20.0,15.0,10.0
90,12.0,31.0,34.0,12.0
91,1.0,3.0,1.0,3.0
92,2.0,3.0,1.0,3.0
93,4.0,6.0,9.0,6.0
94,1.0,1.0,0.0,0.0
95,0.0,7.0,6.0,0.0
96,1.0,9.0,3.0,3.0
97,0.0,2.0,0.0,0.0
98,2.0,1.0,2.0,1.0
99,13.0,28.0,18.0,13.0
100,15.0,21.0,9.0,9.0
101,7.0,11.0,14.0,7.0
102,6.0,26.0,23.0,23.0
103,2.0,17.0,10.0,10.0
104,11.0,16.0,11.0,16.0
105,2.0,14.0,17.0,17.0
106,8.0,23.0,15.0,23.0
107,26.0,59.0,32.0,32.0
108,37.0,58.0,41.0,37.0
109,7.0,39.0,31.0,31.0
110,21.0,47.0,28.0,47.0
111,19.0,52.0,48.0,48.0
112,19.0,59.0,40.0,59.0
113,11.0,31.0,27.0,27.0
114,15.0,48.0,22.0,22.0
115,14.0,31.0,21.0,21.0
116,23.0,39.0,22.0,23.0
117,14.0,32.0,13.0,14.0
118,5.0,22.0,12.0,22.0
119,10.0,12.0,12.0,12.0
120,24.0,60.0,44.0,24.0
121,48.0,101.0,84.0,84.0
122,14.0,26.0,12.0,12.0
123,0.0,3.0,1.0,3.0
124,11.0,35.0,11.0,35.0
125,2.0,7.0,5.0,7.0
126,1.0,1.0,6.0,6.0
127,15.0,42.0,24.0,42.0
128,5.0,14.0,17.0,5.0
