,4-28-2020,5-28-2020,6-28-2020,7-28-2020,4-28-2022,5-28-2022,6-28-2022,7-28-2022,8-28-2022,9-28-2022,10-28-2022,11-28-2022,12-28-2022
0,946.0,1360.0,702.0,2.0,2.0,702.0,702.0,702.0,702.0,1360.0,2.0,702.0,702.0
1,161.0,233.0,101.0,2.0,101.0,161.0,101.0,161.0,161.0,101.0,101.0,101.0,161.0
2,241.0,387.0,171.0,0.0,171.0,0.0,0.0,171.0,171.0,241.0,0.0,241.0,171.0
3,15.0,26.0,14.0,0.0,26.0,26.0,15.0,0.0,15.0,26.0,26.0,26.0,26.0
4,119.0,167.0,159.0,0.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,119.0
5,316.0,441.0,262.0,0.0,316.0,316.0,316.0,316.0,0.0,316.0,441.0,316.0,316.0
6,183.0,303.0,186.0,0.0,183.0,0.0,183.0,183.0,183.0,0.0,183.0,0.0,183.0
7,176.0,297.0,86.0,0.0,297.0,86.0,86.0,297.0,297.0,297.0,176.0,0.0,176.0
8,580.0,757.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0
9,100.0,138.0,47.0,1.0,100.0,47.0,47.0,47.0,47.0,47.0,100.0,138.0,47.0
10,359.0,487.0,230.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0
11,275.0,440.0,220.0,2.0,2.0,220.0,440.0,2.0,275.0,2.0,275.0,220.0,275.0
12,254.0,341.0,160.0,0.0,160.0,254.0,254.0,160.0,160.0,160.0,254.0,254.0,341.0
13,32.0,62.0,7.0,0.0,32.0,62.0,0.0,0.0,32.0,7.0,62.0,32.0,32.0
14,161.0,259.0,103.0,0.0,259.0,103.0,259.0,103.0,161.0,161.0,259.0,161.0,103.0
15,39.0,71.0,17.0,0.0,17.0,17.0,0.0,17.0,71.0,0.0,17.0,0.0,0.0
16,597.0,840.0,336.0,1.0,840.0,336.0,597.0,336.0,336.0,336.0,336.0,597.0,597.0
17,507.0,832.0,341.0,0.0,832.0,0.0,832.0,832.0,832.0,832.0,832.0,832.0,832.0
18,319.0,442.0,276.0,0.0,442.0,442.0,0.0,276.0,276.0,276.0,276.0,276.0,276.0
19,28.0,27.0,18.0,0.0,18.0,0.0,0.0,18.0,0.0,18.0,0.0,27.0,18.0
20,49.0,75.0,37.0,0.0,37.0,37.0,37.0,37.0,37.0,0.0,75.0,37.0,37.0
21,290.0,336.0,96.0,0.0,336.0,96.0,96.0,290.0,290.0,290.0,96.0,0.0,336.0
22,173.0,270.0,56.0,0.0,173.0,56.0,56.0,0.0,56.0,0.0,0.0,56.0,173.0
23,148.0,217.0,115.0,1.0,115.0,115.0,148.0,115.0,148.0,148.0,148.0,115.0,148.0
24,2798.0,3621.0,2052.0,1.0,2798.0,1.0,1.0,1.0,1.0,3621.0,1.0,1.0,1.0
25,124.0,154.0,59.0,0.0,0.0,154.0,124.0,154.0,154.0,124.0,154.0,0.0,154.0
26,919.0,1436.0,600.0,1.0,919.0,919.0,1436.0,919.0,1436.0,600.0,1436.0,919.0,919.0
27,132.0,175.0,73.0,0.0,0.0,73.0,132.0,0.0,175.0,0.0,0.0,0.0,0.0
28,92.0,153.0,29.0,0.0,92.0,0.0,153.0,29.0,0.0,29.0,153.0,153.0,0.0
29,59.0,100.0,27.0,0.0,59.0,0.0,100.0,100.0,0.0,27.0,100.0,0.0,100.0
30,104.0,202.0,28.0,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0
31,205.0,437.0,190.0,0.0,205.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0
32,328.0,573.0,224.0,0.0,224.0,573.0,328.0,328.0,0.0,224.0,224.0,224.0,573.0
33,18.0,31.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,18.0,0.0
34,164.0,305.0,182.0,0.0,164.0,164.0,305.0,0.0,182.0,305.0,305.0,305.0,305.0
35,42.0,45.0,7.0,0.0,45.0,45.0,42.0,0.0,45.0,45.0,42.0,42.0,0.0
36,50.0,127.0,58.0,1.0,1.0,1.0,58.0,1.0,127.0,127.0,1.0,127.0,1.0
37,42.0,66.0,8.0,0.0,66.0,66.0,66.0,8.0,8.0,8.0,8.0,66.0,8.0
38,358.0,535.0,183.0,0.0,0.0,183.0,535.0,183.0,358.0,0.0,535.0,535.0,535.0
39,353.0,499.0,261.0,0.0,261.0,499.0,261.0,499.0,0.0,499.0,499.0,353.0,261.0
40,286.0,413.0,200.0,0.0,200.0,0.0,200.0,0.0,286.0,286.0,200.0,200.0,200.0
41,93.0,113.0,60.0,0.0,113.0,113.0,93.0,93.0,0.0,60.0,113.0,113.0,0.0
42,206.0,260.0,125.0,0.0,260.0,125.0,125.0,125.0,125.0,125.0,0.0,260.0,125.0
43,119.0,164.0,36.0,0.0,164.0,36.0,36.0,36.0,36.0,164.0,36.0,36.0,36.0
44,134.0,175.0,83.0,0.0,83.0,175.0,83.0,83.0,83.0,83.0,83.0,83.0,134.0
45,24.0,58.0,3.0,0.0,58.0,0.0,3.0,58.0,24.0,58.0,3.0,3.0,3.0
46,219.0,328.0,191.0,0.0,328.0,328.0,328.0,328.0,328.0,191.0,328.0,191.0,328.0
47,59.0,136.0,62.0,0.0,59.0,62.0,59.0,62.0,62.0,136.0,0.0,62.0,59.0
48,111.0,184.0,101.0,0.0,101.0,184.0,101.0,184.0,184.0,184.0,184.0,101.0,184.0
49,21.0,35.0,13.0,0.0,0.0,0.0,0.0,21.0,13.0,13.0,0.0,21.0,35.0
50,432.0,682.0,219.0,1.0,1.0,1.0,682.0,682.0,432.0,1.0,1.0,682.0,432.0
51,31.0,64.0,31.0,1.0,31.0,31.0,1.0,31.0,31.0,31.0,31.0,31.0,1.0
52,495.0,660.0,359.0,1.0,660.0,359.0,1.0,660.0,660.0,660.0,359.0,1.0,1.0
53,155.0,252.0,73.0,0.0,73.0,73.0,155.0,252.0,73.0,73.0,73.0,73.0,73.0
54,83.0,180.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,83.0,83.0,83.0,0.0
55,25.0,83.0,41.0,0.0,41.0,83.0,25.0,41.0,41.0,41.0,41.0,41.0,41.0
56,198.0,252.0,118.0,0.0,118.0,252.0,252.0,252.0,0.0,252.0,0.0,118.0,118.0
57,347.0,462.0,214.0,0.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,347.0
58,93.0,206.0,111.0,0.0,206.0,111.0,0.0,0.0,206.0,111.0,0.0,206.0,111.0
59,58.0,86.0,52.0,0.0,52.0,86.0,58.0,86.0,86.0,86.0,86.0,0.0,58.0
60,260.0,423.0,213.0,0.0,423.0,423.0,423.0,213.0,213.0,423.0,423.0,213.0,423.0
61,51.0,46.0,34.0,0.0,34.0,46.0,51.0,46.0,51.0,51.0,46.0,46.0,46.0
62,38.0,50.0,22.0,0.0,50.0,22.0,22.0,50.0,38.0,38.0,22.0,38.0,50.0

