,12-28-2017,1-28-2018,2-28-2018,3-28-2018,3-28-2021
63,1.0,122.0,98.0,32.0,98.0
64,10.0,180.0,131.0,46.0,131.0
65,0.0,80.0,48.0,21.0,0.0
66,14.0,163.0,142.0,53.0,53.0
67,4.0,128.0,74.0,35.0,128.0
68,18.0,244.0,171.0,60.0,18.0
69,5.0,143.0,124.0,25.0,5.0
70,3.0,96.0,63.0,20.0,96.0
71,6.0,92.0,77.0,28.0,92.0
72,2.0,102.0,88.0,26.0,88.0
73,7.0,69.0,42.0,9.0,69.0
74,0.0,38.0,19.0,7.0,0.0
75,0.0,20.0,20.0,7.0,7.0
76,4.0,77.0,37.0,12.0,4.0
77,3.0,36.0,24.0,8.0,8.0
78,1.0,29.0,19.0,3.0,1.0
79,2.0,24.0,33.0,5.0,33.0
80,0.0,2.0,0.0,17.0,2.0
81,0.0,41.0,31.0,8.0,8.0
82,2.0,29.0,24.0,8.0,29.0
83,0.0,16.0,12.0,4.0,16.0
84,3.0,55.0,46.0,13.0,55.0
85,2.0,84.0,61.0,14.0,61.0
86,0.0,11.0,5.0,5.0,11.0
87,0.0,19.0,15.0,10.0,19.0
88,1.0,44.0,31.0,8.0,31.0
89,0.0,22.0,14.0,11.0,22.0
90,6.0,57.0,51.0,10.0,6.0
91,0.0,3.0,6.0,0.0,3.0
92,0.0,2.0,1.0,0.0,1.0
93,0.0,2.0,2.0,0.0,2.0
94,0.0,2.0,2.0,2.0,2.0
95,1.0,15.0,5.0,11.0,1.0
96,1.0,8.0,2.0,1.0,2.0
97,0.0,2.0,1.0,0.0,0.0
98,0.0,8.0,3.0,2.0,8.0
99,2.0,32.0,3.0,2.0,2.0
100,0.0,28.0,3.0,5.0,3.0
101,0.0,12.0,4.0,1.0,0.0
102,0.0,28.0,3.0,12.0,3.0
103,0.0,21.0,7.0,4.0,4.0
104,1.0,30.0,11.0,4.0,11.0
105,1.0,21.0,3.0,5.0,5.0
106,0.0,25.0,5.0,5.0,25.0
107,0.0,68.0,45.0,15.0,15.0
108,1.0,17.0,10.0,5.0,1.0
109,2.0,54.0,35.0,15.0,15.0
110,0.0,40.0,32.0,12.0,40.0
111,0.0,68.0,50.0,12.0,12.0
112,5.0,55.0,55.0,15.0,55.0
113,0.0,49.0,19.0,7.0,7.0
114,2.0,64.0,42.0,10.0,10.0
115,0.0,48.0,29.0,7.0,7.0
116,2.0,31.0,23.0,13.0,2.0
117,1.0,40.0,27.0,6.0,1.0
118,2.0,14.0,9.0,4.0,9.0
119,6.0,32.0,8.0,1.0,32.0
120,3.0,70.0,55.0,26.0,70.0
121,1.0,111.0,63.0,26.0,63.0
122,2.0,25.0,31.0,12.0,12.0
123,0.0,1.0,2.0,2.0,2.0
124,0.0,12.0,23.0,4.0,12.0
125,0.0,8.0,8.0,5.0,8.0
126,1.0,6.0,10.0,0.0,0.0
127,5.0,33.0,28.0,8.0,28.0
128,0.0,24.0,7.0,12.0,0.0
129,0.0,35.0,22.0,4.0,22.0
130,0.0,9.0,3.0,3.0,3.0
131,1.0,14.0,15.0,11.0,1.0
132,0.0,8.0,2.0,1.0,8.0
133,0.0,3.0,1.0,0.0,0.0
134,0.0,33.0,10.0,6.0,10.0
135,3.0,121.0,69.0,25.0,121.0
136,3.0,12.0,15.0,9.0,15.0
137,0.0,30.0,19.0,6.0,19.0
138,0.0,115.0,81.0,29.0,29.0
139,2.0,71.0,31.0,8.0,8.0
140,0.0,63.0,24.0,15.0,0.0
141,4.0,126.0,97.0,44.0,4.0
142,6.0,212.0,145.0,49.0,145.0
143,1.0,4.0,2.0,2.0,2.0
144,0.0,2.0,1.0,2.0,2.0
145,0.0,42.0,29.0,8.0,29.0
146,0.0,13.0,7.0,1.0,7.0
147,0.0,9.0,6.0,3.0,6.0
148,0.0,27.0,23.0,5.0,27.0
149,1.0,23.0,14.0,10.0,1.0
150,0.0,10.0,12.0,5.0,0.0
151,0.0,10.0,10.0,4.0,10.0
152,0.0,1.0,2.0,3.0,0.0
153,0.0,16.0,14.0,1.0,14.0
154,2.0,36.0,41.0,8.0,41.0
155,0.0,8.0,6.0,3.0,8.0
156,1.0,13.0,22.0,3.0,13.0
157,1.0,63.0,65.0,18.0,1.0
158,1.0,13.0,10.0,4.0,10.0
159,2.0,46.0,28.0,10.0,10.0
160,5.0,86.0,88.0,11.0,86.0
161,0.0,1.0,1.0,0.0,0.0
162,1.0,13.0,9.0,7.0,13.0
163,5.0,54.0,32.0,7.0,32.0
164,4.0,53.0,51.0,15.0,53.0
165,4.0,58.0,58.0,10.0,4.0
166,1.0,50.0,42.0,13.0,50.0
167,3.0,51.0,30.0,13.0,51.0
168,1.0,32.0,24.0,12.0,1.0
169,0.0,17.0,14.0,5.0,17.0
170,3.0,88.0,80.0,19.0,80.0
171,1.0,58.0,44.0,8.0,58.0
172,0.0,42.0,50.0,12.0,0.0
173,11.0,108.0,85.0,27.0,27.0
174,2.0,8.0,24.0,3.0,24.0
175,1.0,73.0,39.0,16.0,73.0
176,0.0,18.0,17.0,3.0,3.0
177,0.0,10.0,8.0,4.0,0.0
178,0.0,6.0,1.0,0.0,6.0
179,1.0,18.0,22.0,2.0,2.0
180,6.0,80.0,70.0,16.0,6.0
181,1.0,32.0,27.0,6.0,1.0
182,0.0,0.0,2.0,0.0,2.0
183,0.0,4.0,0.0,0.0,0.0
184,7.0,13.0,9.0,3.0,9.0
185,0.0,10.0,4.0,4.0,4.0
186,0.0,2.0,0.0,0.0,0.0
187,2.0,1.0,3.0,1.0,2.0
188,0.0,6.0,4.0,2.0,2.0
189,0.0,0.0,0.0,0.0,0.0
190,1.0,3.0,4.0,0.0,3.0
191,2.0,5.0,1.0,0.0,5.0
192,0.0,0.0,2.0,0.0,0.0
193,1.0,8.0,3.0,0.0,1.0
194,2.0,7.0,2.0,2.0,7.0
195,1.0,8.0,7.0,1.0,8.0
196,14.0,88.0,76.0,23.0,14.0
197,0.0,4.0,10.0,2.0,4.0
198,0.0,27.0,7.0,2.0,27.0
199,0.0,18.0,7.0,0.0,0.0
200,0.0,17.0,13.0,1.0,13.0
201,1.0,12.0,8.0,5.0,5.0
202,0.0,17.0,11.0,6.0,11.0
203,0.0,14.0,8.0,4.0,14.0
204,0.0,3.0,4.0,1.0,1.0
205,1.0,7.0,5.0,2.0,1.0
206,1.0,28.0,19.0,5.0,28.0
207,0.0,11.0,5.0,1.0,11.0
208,1.0,18.0,6.0,1.0,6.0
209,0.0,7.0,5.0,2.0,5.0
210,0.0,19.0,10.0,7.0,0.0
211,2.0,2.0,5.0,2.0,5.0
212,1.0,11.0,15.0,4.0,4.0
213,0.0,9.0,5.0,1.0,9.0
214,0.0,28.0,6.0,0.0,6.0
215,0.0,15.0,5.0,6.0,15.0
216,0.0,8.0,2.0,1.0,0.0
217,1.0,7.0,6.0,3.0,6.0
218,15.0,259.0,256.0,61.0,61.0
219,0.0,24.0,34.0,6.0,6.0
220,2.0,57.0,54.0,13.0,54.0
221,1.0,51.0,28.0,12.0,12.0
222,2.0,96.0,50.0,17.0,17.0
223,4.0,63.0,57.0,10.0,10.0
224,2.0,53.0,22.0,9.0,9.0
225,0.0,11.0,9.0,2.0,2.0
226,7.0,110.0,75.0,29.0,110.0
227,1.0,30.0,20.0,11.0,11.0
228,4.0,74.0,47.0,13.0,74.0
229,1.0,199.0,136.0,38.0,199.0
230,0.0,0.0,0.0,0.0,0.0
231,0.0,95.0,38.0,16.0,0.0
233,0.0,0.0,0.0,0.0,0.0
233,0.0,203.0,147.0,54.0,54.0
234,0.0,105.0,73.0,22.0,73.0
235,0.0,78.0,85.0,25.0,0.0
236,4.0,66.0,48.0,30.0,30.0
237,3.0,61.0,36.0,15.0,15.0
238,0.0,43.0,23.0,8.0,23.0
239,0.0,78.0,69.0,3.0,0.0
240,0.0,69.0,59.0,16.0,69.0
241,3.0,21.0,11.0,6.0,21.0
242,4.0,98.0,67.0,17.0,67.0
243,0.0,41.0,45.0,17.0,17.0
244,2.0,77.0,39.0,16.0,2.0
245,2.0,43.0,44.0,14.0,43.0
246,2.0,91.0,73.0,24.0,91.0
247,3.0,90.0,57.0,35.0,3.0
248,1.0,14.0,8.0,1.0,1.0
249,0.0,1.0,1.0,0.0,0.0
250,1.0,6.0,7.0,1.0,6.0
251,0.0,1.0,0.0,0.0,0.0
252,0.0,3.0,0.0,0.0,0.0
253,0.0,2.0,0.0,0.0,0.0
254,0.0,1.0,1.0,0.0,1.0
255,3.0,3.0,1.0,0.0,0.0
256,0.0,0.0,0.0,0.0,0.0
257,0.0,2.0,4.0,0.0,4.0
258,0.0,3.0,1.0,1.0,3.0
259,0.0,0.0,0.0,0.0,0.0
260,0.0,5.0,3.0,0.0,0.0
261,1.0,9.0,9.0,5.0,5.0
262,0.0,2.0,2.0,0.0,0.0
263,1.0,9.0,12.0,2.0,1.0
264,0.0,2.0,0.0,0.0,0.0
265,1.0,1.0,3.0,0.0,3.0
266,0.0,8.0,0.0,0.0,0.0
267,0.0,10.0,4.0,2.0,4.0
268,0.0,5.0,0.0,1.0,0.0
269,0.0,5.0,3.0,2.0,5.0
270,0.0,3.0,0.0,0.0,3.0
271,1.0,9.0,4.0,1.0,4.0
272,0.0,4.0,5.0,0.0,5.0
273,0.0,2.0,6.0,0.0,0.0
274,1.0,21.0,10.0,2.0,1.0
275,4.0,33.0,31.0,6.0,31.0
276,0.0,41.0,40.0,5.0,5.0
277,0.0,57.0,53.0,9.0,0.0
278,4.0,24.0,33.0,13.0,33.0
279,1.0,56.0,30.0,5.0,30.0
280,0.0,52.0,34.0,9.0,0.0
281,3.0,51.0,47.0,15.0,15.0
282,3.0,32.0,23.0,5.0,5.0
283,2.0,48.0,46.0,8.0,2.0
284,3.0,42.0,34.0,6.0,6.0
285,1.0,35.0,34.0,9.0,1.0
286,0.0,39.0,24.0,5.0,5.0
287,3.0,53.0,41.0,2.0,3.0
288,2.0,32.0,28.0,12.0,2.0
289,0.0,0.0,1.0,0.0,0.0
290,0.0,0.0,2.0,0.0,0.0
291,0.0,6.0,7.0,1.0,6.0
292,0.0,8.0,4.0,0.0,4.0
293,1.0,11.0,7.0,2.0,11.0
294,3.0,27.0,18.0,10.0,10.0
295,0.0,14.0,10.0,1.0,0.0
296,4.0,46.0,26.0,6.0,26.0
297,4.0,47.0,53.0,12.0,47.0
298,1.0,54.0,31.0,16.0,54.0
299,3.0,54.0,39.0,13.0,39.0
300,7.0,32.0,20.0,6.0,32.0
301,1.0,23.0,8.0,5.0,8.0
302,1.0,40.0,33.0,20.0,1.0
303,1.0,16.0,21.0,8.0,21.0
305,0.0,0.0,0.0,0.0,0.0
305,6.0,19.0,19.0,8.0,6.0
306,0.0,31.0,23.0,9.0,0.0
